ID	Unnamed: 0	Block	Row	Column	Name	circles	intensities	circle_qual	squares	intensities2_b	spot_images	std_intensities2	intensities2
1	0	1	1	1	LF-0.05	Circle(xy=(87, 88), radius=9)	1265647	0.515625	Rectangle(xy=(52.5, 61.5), width=67, height=59, angle=0)	0.17391304347826086	"[[ 118   45  119 ...  166  101  101]
 [  96   91   62 ... 2289  115  104]
 [ 115  111  100 ...   88  122  107]
 ...
 [ 135   99   76 ...  168  106   81]
 [  93   98   91 ...  193  117  102]
 [ 109  138  129 ...  198  147   81]]"	307.2093368588968	235.46245059288538
2	1	1	1	2	LF-0.05	Circle(xy=(152, 92), radius=9)	738262	0.375	Rectangle(xy=(119.5, 60.5), width=67, height=59, angle=0)	0.6679841897233202	"[[116 151 104 ... 137 106 323]
 [192 116 175 ... 134  76 304]
 [103 104  99 ...  71 157 228]
 ...
 [175 128 119 ... 117  93 169]
 [133 132 139 ... 109  61 195]
 [107 209  63 ... 102 152 169]]"	351.96710775821055	475.7628458498024
3	2	1	1	3	LF-0.05	Circle(xy=(223, 87), radius=9)	616082	0.3125	Rectangle(xy=(186.5, 60.5), width=67, height=59, angle=0)	0.2134387351778656	"[[150 136 166 ... 106 204 107]
 [111 127 103 ... 144 127 120]
 [ 86 132 162 ...  99 137 163]
 ...
 [118 123 183 ...  45 122  76]
 [ 84  95 867 ...  96  72 130]
 [ 90  81 190 ...  95  97  81]]"	148.11960893317377	163.46245059288538
4	3	1	1	4	LF-0.05	Circle(xy=(293, 86), radius=9)	655514	0.328125	Rectangle(xy=(254.5, 60.5), width=67, height=59, angle=0)	0.09881422924901186	"[[118 108 141 ...  79  80 140]
 [144  88  86 ... 108 117 128]
 [138 114  99 ... 166  78 154]
 ...
 [ 84  81  95 ...  51 107 110]
 [109  60  98 ...  83 100  77]
 [ 53 120 170 ... 104 101 107]]"	1605.2800123184238	232.49407114624506
5	4	1	1	5	LF-0.05	Circle(xy=(360, 88), radius=9)	858263	0.265625	Rectangle(xy=(321.5, 60.5), width=67, height=59, angle=0)	0.15019762845849802	"[[112  74  96 ... 128 176 157]
 [131 199 212 ... 153 135 109]
 [ 92 160 107 ... 136 130 166]
 ...
 [ 85  56  63 ...  66 131 514]
 [ 94  44  73 ...  94 111 149]
 [110  58 116 ...  91  70 133]]"	115.19268896340633	135.53359683794466
6	5	1	1	6	LF-0.05	Circle(xy=(425, 89), radius=9)	605128	0.28125	Rectangle(xy=(388.5, 60.5), width=67, height=59, angle=0)	0.34782608695652173	"[[124 235  89 ... 187  91 153]
 [125 156 126 ... 191 109  88]
 [130 138 190 ... 203 149  83]
 ...
 [138 104 123 ...  41 109  53]
 [100 214 109 ... 125  91 156]
 [116  99 135 ...  53  74 106]]"	189.58773646766215	195.64426877470356
7	6	1	1	7	LF-0.05	Circle(xy=(493, 91), radius=9)	552689	0.3125	Rectangle(xy=(456.5, 60.5), width=67, height=59, angle=0)	0.25691699604743085	"[[ 96 157 119 ... 140 137 140]
 [129  98 426 ... 148 216 103]
 [134 148 113 ... 202 113 121]
 ...
 [144  87  72 ...  88 121 121]
 [104  90 128 ...  96  82 109]
 [ 81 130 152 ...  93 127  73]]"	122.05000577150876	163.4189723320158
8	7	1	1	8	LF-0.05	Circle(xy=(536, 89), radius=9)	628503	0.3125	Rectangle(xy=(523.5, 60.5), width=67, height=59, angle=0)	0.0	"[[ 78  84 107 ... 215 275 157]
 [176  89 145 ... 218 225 111]
 [134 111 115 ... 149 295 173]
 ...
 [ 85 114  77 ...  74  99  80]
 [ 95 103  64 ... 117  89 114]
 [155 154 113 ... 187 136 128]]"	34.9412265445911	114.82213438735178
9	8	1	1	9	LF-0.05	Circle(xy=(627, 85), radius=9)	581273	0.21875	Rectangle(xy=(590.5, 60.5), width=67, height=59, angle=0)	0.0	"[[184 218 286 ...  90 140  92]
 [112 134 128 ... 103 134  89]
 [ 90 163 155 ... 114 105  89]
 ...
 [111  86  80 ...  86  51  85]
 [ 96  94 113 ...  80  77  86]
 [104  96 142 ...  66  85  70]]"	52.89830720381306	109.44268774703558
10	9	1	1	10	LF-0.05	Circle(xy=(697, 90), radius=9)	515103	0.21875	Rectangle(xy=(658.5, 60.5), width=67, height=59, angle=0)	0.33992094861660077	"[[223 328 620 ... 156 147  79]
 [129 524 382 ...  80  93  76]
 [ 78 344 438 ...  65  91 118]
 ...
 [ 98 106 136 ...  80 157 237]
 [ 83  93 133 ... 108 119 177]
 [141 121 131 ... 107  73 144]]"	104.89755944180496	151.15415019762847
