ID	Unnamed: 0	Block	Row	Column	Name	circles	intensities	circle_qual	squares	intensities2_b	spot_images	std_intensities2	intensities2
1	0	1	1	1	LF-0.05	Circle(xy=(75, 80), radius=12.6)	884790	0.4999999999999997	Rectangle(xy=(56, 55.5), width=66, height=59, angle=0)	0.9054325955734407	"[[ 93 183 140 ... 187 197 155]
 [ 94  52  84 ...  98 128 133]
 [ 93  56  86 ... 159 138 144]
 ...
 [ 79  61  41 ... 195 176 145]
 [ 90  81  79 ... 523 157 125]
 [ 64  40  66 ... 158 215 385]]"	634.5324812810575	660.3923541247485
2	1	1	1	2	LF-0.05	Circle(xy=(137, 84), radius=9)	1632138	0.453125	Rectangle(xy=(122, 54.5), width=66, height=59, angle=0)	0.7509881422924901	"[[108  85 115 ... 139  46  97]
 [ 72  92  59 ... 111  46  56]
 [ 89 145  83 ... 111 127 111]
 ...
 [167 120 192 ... 122 122  94]
 [398 869 849 ...  57  62  76]
 [118 138  70 ...  63 101  96]]"	947.4566448949195	425.2371541501976
3	2	1	1	3	LF-0.05	Circle(xy=(206, 80), radius=9)	750567	0.46875	Rectangle(xy=(189, 54.5), width=66, height=59, angle=0)	1.6798418972332017	"[[112 174  71 ...  66 129 124]
 [104  41 101 ...  49  48  76]
 [ 82  55 129 ...  74  63  47]
 ...
 [ 77  75  79 ...  61  51  40]
 [ 66  39  65 ...  69  71 177]
 [ 58  58  93 ...  66  98 111]]"	3269.5125504594084	609.2924901185771
4	3	1	1	4	LF-0.05	Circle(xy=(278, 81), radius=9)	656353	0.421875	Rectangle(xy=(256, 54.5), width=66, height=59, angle=0)	0.8458498023715415	"[[ 74  61  52 ...  66  91  46]
 [ 36  71  61 ...  75  46  57]
 [ 59  50  69 ...  47  58  58]
 ...
 [ 40  50  41 ...  41  76  75]
 [ 67  96  44 ...  75  48 135]
 [ 93  45  41 ...  59  77  87]]"	1029.5294010258995	801.7351778656126
5	4	1	1	5	LF-0.05	Circle(xy=(347, 79), radius=10.8)	783319	0.513888888888889	Rectangle(xy=(323, 54.5), width=66, height=59, angle=0)	2.213698630136986	"[[ 86  80  43 ...  50  65  74]
 [ 49  94  59 ...  44  78  55]
 [ 86  70  35 ...  32  59  99]
 ...
 [ 77  58  86 ...  51  45  37]
 [ 78  54  74 ...  42  69  58]
 [140  50  64 ...  33  39  78]]"	5123.545948501164	1324.964383561644
6	5	1	1	6	LF-0.05	Circle(xy=(410, 82), radius=9)	594522	0.5625	Rectangle(xy=(390, 54.5), width=66, height=59, angle=0)	0.40711462450592883	"[[ 85  90  56 ...  91  49  72]
 [ 56  42  81 ... 127 185 104]
 [ 68  92  79 ... 135  44 100]
 ...
 [ 53  63  94 ... 115  61  90]
 [ 65  50  68 ...  84  78  74]
 [ 39  47  69 ...  98  42  85]]"	471.3081167401907	314.501976284585
7	6	1	1	7	LF-0.05	Circle(xy=(480, 81), radius=9)	590563	0.609375	Rectangle(xy=(457, 54.5), width=66, height=59, angle=0)	0.6324110671936759	"[[ 82  65  54 ...  78  84  53]
 [111  94  89 ...  80  79  65]
 [ 66 106  85 ...  50  89  94]
 ...
 [ 24  66  89 ...  46  77  76]
 [ 73 104  73 ...  58  48  74]
 [ 83  80  40 ...  81  87  69]]"	461.68276285708225	575.4387351778656
8	7	1	1	8	LF-0.05	Circle(xy=(548, 81), radius=9)	636726	0.6875	Rectangle(xy=(524, 54.5), width=66, height=59, angle=0)	0.8181818181818182	"[[ 60  61  38 ... 138 116  90]
 [ 97  55  70 ... 110  72 121]
 [ 76  85  45 ...  46  81  83]
 ...
 [ 47  53  35 ... 135  60  85]
 [ 90  70  65 ...  48 114  40]
 [ 46  93  72 ...  94  80  98]]"	562.5612019767033	912.2529644268775
9	8	1	1	9	LF-0.05	Circle(xy=(617, 82), radius=9)	599724	0.515625	Rectangle(xy=(591, 54.5), width=66, height=59, angle=0)	0.9169960474308301	"[[101  69 105 ... 124 103  54]
 [ 93 113  82 ...  98 125 108]
 [ 99  60  65 ... 149  83  81]
 ...
 [ 69  97 106 ... 157 139 260]
 [ 80  58  85 ... 139 160 179]
 [ 49  75 116 ...  54 126 212]]"	907.1875496275237	918.2569169960474
10	9	1	1	10	LF-0.05	Circle(xy=(681, 82), radius=9)	401668	0.453125	Rectangle(xy=(658, 54.5), width=66, height=59, angle=0)	0.2924901185770751	"[[125  62  61 ...  65  86  39]
 [146  91 129 ...  78  66  46]
 [148 103  73 ...  80  84  69]
 ...
 [ 54  81  77 ...  77 117 100]
 [ 66  80 110 ...  39  64  73]
 [ 64 105  40 ...  47  64  96]]"	241.64759296750577	249.78656126482213
11	10	1	1	11		Circle(xy=(763, 88.5), radius=18)	255747	0.0	Rectangle(xy=(725, 54.5), width=66, height=59, angle=0)	0.0	"[[ 71  62  49 ...  46  57  45]
 [ 66  71  68 ... 114  48  31]
 [ 36  51  68 ...  63  40  77]
 ...
 [ 54  97 122 ...  75  62  49]
 [ 64  56  55 ...  43  53  38]
 [ 85  34  71 ... 110 102  54]]"	26.067718307491983	68.25098814229248
12	11	1	1	12		Circle(xy=(830, 88.5), radius=18)	285107	0.0	Rectangle(xy=(792, 54.5), width=66, height=59, angle=0)	0.0009881422924901185	"[[ 58  57  89 ...  35  44  49]
 [ 57  39  54 ...  97 107  59]
 [ 45  71  57 ...  38 104  96]
 ...
 [ 51  40  63 ...  89  48  44]
 [ 47  36  75 ...  65  61  63]
 [ 65  63  54 ...  60  73  29]]"	38.86954120212988	65.05138339920948
13	12	1	1	13		Circle(xy=(897, 88.5), radius=18)	328509	0.0	Rectangle(xy=(859, 54.5), width=66, height=59, angle=0)	0.0	"[[39 41 51 ... 57 56 45]
 [65 77 52 ... 72 60 40]
 [60 87 73 ... 67 58 59]
 ...
 [55 53 34 ... 80 47 42]
 [65 63 60 ... 61 40 67]
 [43 75 64 ... 92 74 53]]"	22.669072649277787	60.03853754940712
14	13	1	1	14		Circle(xy=(964, 88.5), radius=18)	249883	0.0	Rectangle(xy=(926, 54.5), width=66, height=59, angle=0)	0.003952569169960474	"[[ 62  58  73 ...  47  66  90]
 [ 81 256  46 ...  87  53  80]
 [ 81  85  47 ...  43  75  64]
 ...
 [ 76 186  58 ...  59  55  62]
 [ 69  36  88 ...  29  63  38]
 [ 87  59  59 ...  56  31  41]]"	28.041685759423952	63.21739130434783
