ID	Unnamed: 0	Block	Row	Column	Name	circles	intensities	circle_qual	squares	intensities2_b	spot_images	std_intensities2	intensities2
1	0	1	1	1	LF-0.05	Circle(xy=(83, 144), radius=9)	510040	0.296875	Rectangle(xy=(50.5, 111.5), width=67, height=59, angle=0)	0.8972332015810277	"[[ 51  51 102 ... 106 133  52]
 [142  93 101 ... 162  50  66]
 [190  42  57 ...  90 100  58]
 ...
 [ 34  91  40 ... 162 134 474]
 [ 57  70  48 ... 105  70  54]
 [ 92  55  99 ...  67  95 111]]"	1050.2260601369019	382.600790513834
2	1	1	1	2	LF-0.05	Circle(xy=(149, 141), radius=9)	511297	0.234375	Rectangle(xy=(117.5, 110.5), width=67, height=59, angle=0)	1.0	"[[  68   66   77 ...   65   63   61]
 [1774   61   66 ...   47   70  122]
 [  47   64   66 ...   96   53   88]
 ...
 [ 127  288   96 ...  132   70   64]
 [  73   84  179 ...  120   58   41]
 [  97  102   92 ...   73   90 2840]]"	294.5676944921854	343.6126482213439
3	2	1	1	3	LF-0.05	Circle(xy=(217, 145), radius=9)	471474	0.25	Rectangle(xy=(184.5, 110.5), width=67, height=59, angle=0)	0.9407114624505929	"[[ 52  63  86 ...  64  45  71]
 [ 56  47  87 ...  96  65  62]
 [ 48  76 104 ...  55  91  83]
 ...
 [ 89 118  90 ...  64  90 106]
 [123 101 111 ...  74  75  64]
 [ 51 110  77 ...  63  70  58]]"	268.9536165740638	355.94071146245057
4	3	1	1	4	LF-0.05	Circle(xy=(288, 138), radius=16.2)	526855	0.37500000000000017	Rectangle(xy=(251.5, 110.5), width=67, height=59, angle=0)	0.2014475271411339	"[[149  51  68 ... 102 107  52]
 [ 57  95  85 ... 107  64  65]
 [ 55  84  74 ... 112  77  31]
 ...
 [ 76  82  56 ...  69 102 163]
 [ 93 114  97 ...  73 133 113]
 [114 113 113 ...  78  99 185]]"	389.31957473688476	168.50542822677926
5	4	1	1	5	LF-0.05	Circle(xy=(359, 140), radius=10.8)	492549	0.30555555555555564	Rectangle(xy=(319.5, 109.5), width=67, height=59, angle=0)	0.20821917808219179	"[[ 66 109  53 ...  73  96  58]
 [ 69  59  67 ... 108  51  53]
 [ 28  42  52 ... 167  83  43]
 ...
 [ 93 109 103 ... 123 107 193]
 [110  85 110 ... 108  58 467]
 [111 113 106 ... 331 100 301]]"	203.08836062612056	142.05205479452056
6	5	1	1	6	LF-0.05	Circle(xy=(410, 140), radius=9)	471446	0.21875	Rectangle(xy=(386.5, 109.5), width=67, height=59, angle=0)	0.43478260869565216	"[[ 65  68  54 ...  70 113  55]
 [ 37  24  71 ...  67  78  91]
 [ 42  52  71 ... 113  86 140]
 ...
 [112  64  66 ...  46  38  54]
 [ 86  74  63 ... 259 465  96]
 [ 86  83  91 ...  71 110  77]]"	271.98422229186326	201.36363636363637
7	6	1	1	7	LF-0.05	Circle(xy=(481, 139), radius=9)	501339	0.28125	Rectangle(xy=(453.5, 109.5), width=67, height=59, angle=0)	1.007905138339921	"[[ 126  101  130 ...   93  334   85]
 [ 102   89   59 ...   72   76   75]
 [  57 1051  170 ...   76  481   65]
 ...
 [ 103  106   71 ...   70   83  115]
 [ 138   90   92 ...   85   48   49]
 [3891  102   86 ...   77   82  133]]"	292.47381858224173	343.1185770750988
8	7	1	1	8	LF-0.05	Circle(xy=(555, 142), radius=9)	440792	0.234375	Rectangle(xy=(521.5, 109.5), width=67, height=59, angle=0)	0.9881422924901185	"[[ 53  75  60 ...  60 108  73]
 [109  50  61 ...  69  96  73]
 [ 73  48  57 ... 154  58  99]
 ...
 [ 52  93 103 ...  42  81  77]
 [ 95  57  82 ... 120 136  33]
 [ 89  57  91 ...  66  80 101]]"	354.4446401805362	336.9683794466403
9	8	1	1	9	LF-0.05	Circle(xy=(621, 145), radius=9)	443834	0.203125	Rectangle(xy=(588.5, 108.5), width=67, height=59, angle=0)	0.7035573122529645	"[[272  98  94 ...  65  99  37]
 [ 66  93 174 ...  42  32  57]
 [ 67  54  93 ... 299  55  64]
 ...
 [ 48  96  38 ...  56  89  79]
 [ 75  51  83 ...  73  47  63]
 [ 24  52 109 ... 662  93  38]]"	246.6122654946731	255.12252964426878
10	9	1	1	10	LF-0.05	Circle(xy=(690, 141), radius=9)	506080	0.25	Rectangle(xy=(655.5, 108.5), width=67, height=59, angle=0)	0.8023715415019763	"[[309  67  96 ...  55  70  47]
 [ 96 346  43 ...  60 108  28]
 [ 59  75  59 ...  82  63  54]
 ...
 [ 54  71  77 ... 100 167  74]
 [ 97  65  69 ... 126  87  85]
 [ 64  58  78 ...  99  57  53]]"	1835.7207245333238	453.29249011857706
