ID	Unnamed: 0	Block	Row	Column	Name	circles	intensities	circle_qual	squares	intensities2_b	spot_images	std_intensities2	intensities2
1	0	1	1	1	LF-0.05	Circle(xy=(86, 87), radius=9)	896432	0.734375	Rectangle(xy=(56, 55.5), width=66, height=59, angle=0)	1.8102766798418972	"[[  98   71   75 ...   59   77   87]
 [  61  204   80 ...   31   69   55]
 [ 107   77  231 ...   73   46   67]
 ...
 [ 110   79  291 ...  133  136   99]
 [  89 2996  179 ...  128   81  116]
 [ 136  204  201 ...   94  109  110]]"	742.7148853130003	1086.0790513833992
2	1	1	1	2	LF-0.05	Circle(xy=(145, 87), radius=9)	863093	0.71875	Rectangle(xy=(122, 54.5), width=66, height=59, angle=0)	0.308300395256917	"[[103 102 164 ...  98 105  78]
 [ 75  71 167 ...  78 111 191]
 [105 113 136 ... 114  80 123]
 ...
 [124  79 183 ...  92 120  81]
 [ 94  77 110 ...  81  96  70]
 [ 64  68 141 ... 134 106  72]]"	439.45514273710467	318.0869565217391
3	2	1	1	3	LF-0.05	Circle(xy=(218, 88), radius=9)	898504	0.375	Rectangle(xy=(189, 54.5), width=66, height=59, angle=0)	0.6561264822134387	"[[ 94 100  71 ...  87 196 106]
 [111 145 120 ... 119 100 221]
 [ 83 176 173 ... 312 109 167]
 ...
 [ 80  86  87 ... 160  92  85]
 [ 73 254  95 ... 120  90  88]
 [116 129  99 ...  78 104 123]]"	777.9626953861734	672.0711462450593
4	3	1	1	4	LF-0.05	Circle(xy=(284, 87), radius=9)	874611	0.4375	Rectangle(xy=(256, 54.5), width=66, height=59, angle=0)	0.8735177865612648	"[[ 87 750 197 ... 170 147 154]
 [134 188 121 ... 206 176 150]
 [139 153 212 ... 175 144 212]
 ...
 [114 129  81 ... 106 107  92]
 [111  88  84 ...  89  72  99]
 [ 90  49 242 ...  66 144 186]]"	841.6258509700028	868.7865612648221
5	4	1	1	5	LF-0.05	Circle(xy=(352, 86), radius=9)	1306899	0.296875	Rectangle(xy=(323, 54.5), width=66, height=59, angle=0)	0.9288537549407114	"[[270 284 180 ... 151 163 105]
 [173 187 159 ... 119 271 176]
 [198 228 151 ... 123 167 110]
 ...
 [ 92  77  98 ...  86  68  91]
 [130  65 145 ...  77 101  78]
 [ 94 103 115 ... 260 112  46]]"	743.6643206783907	814.897233201581
6	5	1	1	6	LF-0.05	Circle(xy=(419, 90), radius=9)	579075	0.59375	Rectangle(xy=(390, 54.5), width=66, height=59, angle=0)	0.41106719367588934	"[[159 270 145 ...  82  93 148]
 [215 282 171 ... 105  71  99]
 [168 210 139 ... 100 127  90]
 ...
 [ 93  89  48 ...  55  98  44]
 [115  66  54 ... 103  96  54]
 [106  46  50 ... 117 104  89]]"	281.6537756147868	275.59683794466406
7	6	1	1	7	LF-0.05	Circle(xy=(485, 87), radius=9)	579887	0.453125	Rectangle(xy=(457, 54.5), width=66, height=59, angle=0)	0.7233201581027668	"[[ 84  81  74 ...  86  58  82]
 [ 59  74  66 ... 150  45  51]
 [176 115 111 ... 111 102  52]
 ...
 [ 58  64  58 ...  57  77  97]
 [ 57  81  43 ...  64 108  71]
 [ 67  74  69 ...  98  82  35]]"	567.7390987345375	589.3320158102766
8	7	1	1	8	LF-0.05	Circle(xy=(555, 87), radius=9)	519851	0.421875	Rectangle(xy=(524, 54.5), width=66, height=59, angle=0)	1.051383399209486	"[[ 51  90 121 ...  99 107  50]
 [ 75  55 103 ... 114 126  82]
 [106  69 110 ...  55  72  81]
 ...
 [ 64  61  48 ...  57  66  50]
 [107 122 150 ...  51  83  65]
 [583  91  82 ...  72  30  80]]"	362.97545172231133	718.4347826086956
9	8	1	1	9	LF-0.05	Circle(xy=(622, 88), radius=9)	616982	0.375	Rectangle(xy=(591, 54.5), width=66, height=59, angle=0)	0.7747035573122529	"[[ 83  69  59 ...  93  99  66]
 [ 65  46  51 ...  55  66  64]
 [ 95  50  69 ...  36  83  81]
 ...
 [ 61  48  84 ...  82  85 120]
 [ 68  89  54 ...  66 122  84]
 [ 38  85  96 ...  36  66  93]]"	338.6872340056552	566.0316205533596
10	9	1	1	10	LF-0.05	Circle(xy=(686, 90), radius=9)	466770	0.28125	Rectangle(xy=(658, 54.5), width=66, height=59, angle=0)	0.30434782608695654	"[[ 46 142 260 ...  45  83  38]
 [113  48  83 ...  49  45  28]
 [ 94  79  59 ...  48 123  87]
 ...
 [113  74  61 ...  79  72  50]
 [ 39  81 104 ...  64  88 116]
 [ 63  65 130 ...  47 149  94]]"	260.6918128391881	246.9920948616601
11	10	1	1	11		Circle(xy=(763, 88.5), radius=18)	485107	0.0	Rectangle(xy=(725, 54.5), width=66, height=59, angle=0)	0.008893280632411068	"[[ 90  46  73 ...  63  63 106]
 [100  95  58 ... 118 345 132]
 [ 79  78  67 ...  49  89  88]
 ...
 [ 50  50  89 ...  88  69  59]
 [ 68  63  88 ...  44  50  59]
 [ 65  85  78 ... 103  72 110]]"	1075.2528306000042	147.59683794466403
12	11	1	1	12		Circle(xy=(820, 114), radius=9)	784825	0.15625	Rectangle(xy=(792, 54.5), width=66, height=59, angle=0)	0.01	"[[ 125   76   65 ...   77   67   75]
 [  70  122   67 ...   60  107   88]
 [  56  121   66 ...  101   41   92]
 ...
 [  81   68   91 ...   51   99  178]
 [  57   50   54 ...  235  114   92]
 [  52   77  164 ...  259 1718  110]]"	179.99605106779424	165.96
13	12	1	1	13		Circle(xy=(905, 102), radius=9)	840672	0.203125	Rectangle(xy=(859, 54.5), width=66, height=59, angle=0)	0.007905138339920948	"[[ 47 158  90 ...  57  69  81]
 [246  81  59 ...  66  44  39]
 [575  64 116 ...  57  62  56]
 ...
 [174 423 107 ... 110 380  70]
 [ 77  47 105 ...  51  51  84]
 [ 70 534  41 ...  49  56  42]]"	363.0306060834312	262.8893280632411
14	13	1	1	14		Circle(xy=(933, 108), radius=9)	519495	0.21875	Rectangle(xy=(926, 54.5), width=66, height=59, angle=0)	0.0	"[[ 86  38  34 ...  67  48  92]
 [ 94  31  39 ...  36  40  66]
 [ 40  49  70 ...  76  33  45]
 ...
 [ 61  56 156 ... 124 286 302]
 [ 85  85  61 ...  57 138 384]
 [ 68  96 456 ...  72  81 121]]"	115.20062268909926	101.73711340206185
15	14	1	1	15		Circle(xy=(1008, 89), radius=9)	567221	0.171875	Rectangle(xy=(993, 54.5), width=66, height=59, angle=0)	0.0	"[[ 69 115  72 ... 105  79  86]
 [ 76  95  44 ...  56  88 102]
 [123  90  78 ...  99  67 100]
 ...
 [ 95  90 108 ... 108  54 174]
 [288 156 160 ...  46  74  78]
 [155 298 399 ...  61  70 101]]"	94.17801383180188	126.40711462450592
16	15	1	2	1	P080	Circle(xy=(86, 142), radius=9)	1124208	0.3125	Rectangle(xy=(56, 114.5), width=66, height=59, angle=0)	0.22134387351778656	"[[  89  124  244 ...  129  120  101]
 [  95  664  239 ...  127  145   79]
 [ 109  206  131 ...   97  441  169]
 ...
 [ 145  284  186 ...  120   75  142]
 [ 147  144  115 ...  106  143  103]
 [ 182  281 1720 ...  160  130  176]]"	1026.2664519884513	468.3320158102767
17	16	1	2	2	P081	Circle(xy=(149, 142), radius=19.8)	1726097	0.421875	Rectangle(xy=(123, 114.5), width=66, height=59, angle=0)	0.26200162733930027	"[[122  86  72 ...  87  76  80]
 [ 94  50  96 ... 151  78 117]
 [ 74 136 163 ... 101  55  95]
 ...
 [167 163  65 ... 124  90 105]
 [133  77  75 ... 441 175 551]
 [182  86 111 ... 112  62 109]]"	905.3265894842219	840.8828315703825
18	17	1	2	3	P082	Circle(xy=(221, 151), radius=16.2)	4864742	0.4615384615384619	Rectangle(xy=(190, 114.5), width=66, height=59, angle=0)	0.05307599517490953	"[[ 76 100  83 ... 117 184 102]
 [140 112  54 ...  51 115 100]
 [ 69 127 122 ... 111  87  85]
 ...
 [222 115 104 ... 119 106  65]
 [ 75 116 205 ...  62  52 110]
 [160 126  71 ...  69 100  91]]"	1580.7992461842584	2859.5729794933654
19	18	1	2	4	P083	Circle(xy=(287, 140), radius=16.2)	933964	0.5000000000000004	Rectangle(xy=(257, 114.5), width=66, height=59, angle=0)	0.4644149577804584	"[[113  96  69 ... 110 574  97]
 [126 132  62 ...  61  98 107]
 [109  93 149 ... 139 153 182]
 ...
 [ 86  83 128 ... 124 187  82]
 [ 82 107  88 ... 170  96  94]
 [178  68  54 ... 102 109 132]]"	2109.765982366624	579.4764776839565
20	19	1	2	5	P084	Circle(xy=(352, 141), radius=16.2)	49657401	0.326923076923077	Rectangle(xy=(323, 114.5), width=66, height=59, angle=0)	11.240048250904705	"[[ 88  98 100 ...  73  96  77]
 [ 93 108  94 ... 103  79 126]
 [ 94 116  94 ... 105 122 113]
 ...
 [141  88 101 ...  94 119  54]
 [ 91  85 117 ... 140 107 118]
 [123  46 155 ...  72 121  73]]"	24549.077709913538	46251.67551266586
21	20	1	2	6	P086	Circle(xy=(418, 152), radius=14.4)	896125	0.3750000000000001	Rectangle(xy=(390, 114.5), width=66, height=59, angle=0)	0.2815829528158295	"[[ 84  66  44 ... 227  87  29]
 [ 45 104 118 ...  89  55  56]
 [ 84 145  71 ... 145  60  45]
 ...
 [112 115 204 ...  89  93  66]
 [113  86 142 ...  85  89  34]
 [131 144  75 ...  87  49  33]]"	3835.6348763189026	562.4216133942161
22	21	1	2	7	P088	Circle(xy=(494, 150), radius=18)	1015453	0.30833333333333346	Rectangle(xy=(457, 114.5), width=66, height=59, angle=0)	0.12487611496531219	"[[ 65  58  86 ...  66 144  58]
 [ 72  65  72 ...  65  49  93]
 [135  82 150 ...  53  71  77]
 ...
 [126 381 165 ...  44  53  59]
 [ 69  66  36 ...  85  50  84]
 [ 68  38  47 ...  65 103  63]]"	311.5252284444438	283.1347869177403
23	22	1	2	8	P089	Circle(xy=(543, 121), radius=9)	673759	0.296875	Rectangle(xy=(524, 114.5), width=66, height=59, angle=0)	0.2551440329218107	"[[ 71 128  75 ...  66  65 219]
 [ 92  50 113 ...  53  58  48]
 [ 78  74  75 ...  39  55  44]
 ...
 [ 59  70  77 ...  41  36 105]
 [ 49  61 100 ...  50  79  95]
 [ 75  99  88 ...  88  46 109]]"	114.28031315335119	192.35390946502056
24	23	1	2	9	P090	Circle(xy=(624, 139), radius=14.4)	757076	0.4583333333333336	Rectangle(xy=(591, 114.5), width=66, height=59, angle=0)	0.6864535768645358	"[[ 99  52  59 ... 103  78  92]
 [ 78  70  52 ...  87  66 191]
 [ 71  66  49 ... 132  78  81]
 ...
 [ 53  55  48 ...  99  83  91]
 [ 48  42  64 ... 115  70  58]
 [ 70  57  59 ...  97  76  79]]"	275.9898611245323	301.7503805175038
25	24	1	2	10	LF-0.1	Circle(xy=(688, 141), radius=10.8)	528720	0.7916666666666657	Rectangle(xy=(658, 113.5), width=66, height=59, angle=0)	1.336986301369863	"[[ 94  63  74 ...  72  42  87]
 [118  80  78 ... 101  51  72]
 [ 94  41  65 ...  98  61  39]
 ...
 [ 75 132 102 ...  45  46  68]
 [ 56  75 204 ...  58  66 105]
 [122  61  91 ...  73  89  59]]"	334.3859034335737	413.213698630137
26	25	1	2	11	P091	Circle(xy=(761, 144), radius=18)	692326	0.366666666666667	Rectangle(xy=(725, 113.5), width=66, height=59, angle=0)	0.022794846382556987	"[[  63   35   81 ...   46   67   74]
 [  38   94  118 ...   47   53   81]
 [  74   89   93 ...  112  136   53]
 ...
 [  69   58   72 ...   35   70   41]
 [  92   82   83 ...   55   68   59]
 [  92   65   58 ...   41  135 1358]]"	217.63790950385987	234.8394449950446
27	26	1	2	12	P094	Circle(xy=(829, 142), radius=18)	54667040	0.3583333333333336	Rectangle(xy=(792, 113.5), width=66, height=59, angle=0)	5.005946481665015	"[[ 85  78  99 ... 290  61  84]
 [ 50  68  60 ... 294  80 100]
 [ 46  67  82 ... 119 346  86]
 ...
 [ 54 174  79 ... 142  99  65]
 [ 50 123  67 ... 131 173 275]
 [ 77  68  39 ...  73 180 140]]"	30043.157089032255	30274.779980178395
28	27	1	2	13	P095	Circle(xy=(887, 150), radius=12.6)	40591262	0.3068181818181817	Rectangle(xy=(859, 113.5), width=66, height=59, angle=0)	7.456740442655936	"[[311 145 165 ... 128 238 136]
 [ 87  98  45 ...  66 185 178]
 [ 92 820 252 ...  47  91  79]
 ...
 [324  94  66 ...  86 104  40]
 [ 57  79  89 ...  84  76  73]
 [ 66  68 116 ...  66  79  85]]"	21004.918229940416	44135.53319919517
29	28	1	2	14	P096	Circle(xy=(958, 143), radius=18)	601064	0.4666666666666673	Rectangle(xy=(926, 113.5), width=66, height=59, angle=0)	0.02180376610505451	"[[ 63 147 112 ...  62  85 197]
 [108 149  83 ...  73  61  90]
 [110  62  89 ... 136  56 108]
 ...
 [ 47  49  52 ...  52  69  43]
 [ 95 105  74 ...  39  91  56]
 [102  54  53 ... 124 106  58]]"	173.31823625225056	222.29038652130822
