ID	Unnamed: 0	Block	Row	Column	Name	circles	intensities	circle_qual	squares	intensities2_b	spot_images	std_intensities2	intensities2
1	0	1	1	1	LF-0.05	Circle(xy=(97, 55), radius=9)	543231	0.46875	Rectangle(xy=(48, 27), width=68, height=60, angle=0)	0.0	"[[ 56  83  67 ...  56  66  92]
 [ 33  59  59 ...  60  44  45]
 [ 88  56  59 ...  64  53 154]
 ...
 [137  61  96 ...  66  70  81]
 [ 58  39  37 ...  62  69  39]
 [ 53  59  61 ... 107  75  68]]"	102.3898748978068	76.39920948616601
2	1	1	1	2	LF-0.05	Circle(xy=(164, 54), radius=9)	754680	0.40625	Rectangle(xy=(116, 26), width=68, height=60, angle=0)	0.0	"[[ 62  61  63 ...  58  98  46]
 [ 72  56  66 ...  68  71  52]
 [ 50  37  84 ... 204 123  74]
 ...
 [ 59  54  55 ...  61  67  86]
 [ 90  73  93 ... 377 110 373]
 [ 85  66  59 ... 483 489  79]]"	1086.9703366423555	162.7312252964427
3	2	1	1	3	LF-0.05	Circle(xy=(234, 54), radius=9)	594775	0.265625	Rectangle(xy=(185, 26), width=68, height=60, angle=0)	0.18972332015810275	"[[  55   92   81 ...   76   75   68]
 [ 107   38   32 ...   62   59   59]
 [ 106   95   89 ...   60   75   94]
 ...
 [ 114  203   87 ...   82   71   48]
 [  34   75   56 ...  399   79   64]
 [ 150   80   83 ... 2809  123   69]]"	394.50475432792064	132.74308300395256
4	3	1	1	4	LF-0.05	Circle(xy=(306, 57), radius=9)	530405	0.34375	Rectangle(xy=(254, 26), width=68, height=60, angle=0)	0.0	"[[ 54  65  84 ...  77  70  50]
 [110  57  75 ...  48  51 805]
 [ 66  99  83 ...  44 106  35]
 ...
 [ 44  60  96 ...  65  72  67]
 [119 131  44 ...  34 182  68]
 [ 55  51 113 ...  65  57  78]]"	655.5088545511138	143.56521739130434
5	4	1	1	5	LF-0.05	Circle(xy=(369, 53), radius=9)	1163347	0.421875	Rectangle(xy=(322, 26), width=68, height=60, angle=0)	0.007905138339920948	"[[  105    84    78 ...    81    58   122]
 [   41    72    40 ...    44    49   327]
 [   40    59    88 ...   219   293    89]
 ...
 [   87    54    43 ...    66    42    67]
 [13411    78    51 ...    70    43    51]
 [  123    75    79 ...   132    66    65]]"	1984.3156158824206	700.501976284585
6	5	1	1	6	LF-0.05	Circle(xy=(434, 56), radius=9)	905375	0.359375	Rectangle(xy=(391, 25), width=68, height=60, angle=0)	0.003952569169960474	"[[ 40  53 171 ...  61  61  55]
 [ 65 120  53 ...  49  69  73]
 [ 55  43  56 ...  49  70  68]
 ...
 [ 97 101  71 ... 151 178  62]
 [ 63  52  62 ...  57 145  91]
 [112  35  72 ... 137 309 133]]"	1000.8319986999677	295.2134387351779
7	6	1	1	7	LF-0.05	Circle(xy=(504, 53), radius=9)	874859	0.375	Rectangle(xy=(460, 25), width=68, height=60, angle=0)	0.0	"[[  72   32   73 ...   52   57   76]
 [ 109   72   81 ...  191   36   75]
 [  72   49   45 ...   62   51   55]
 ...
 [  39   97  656 ...  131   75   48]
 [ 958   51   54 ...   50 2979   98]
 [  93   49  119 ...   64   77   52]]"	626.29676915197	138.1699604743083
8	7	1	1	8	LF-0.05	Circle(xy=(573, 53), radius=9)	858211	0.453125	Rectangle(xy=(529, 25), width=68, height=60, angle=0)	0.0	"[[ 128   61   69 ...   87   61   54]
 [ 108   80   51 ...   79   48   47]
 [  40   37   72 ...   61   57   91]
 ...
 [  43   70   70 ...  179  327 8015]
 [  85   72  105 ... 7048  143  421]
 [  94   65   68 ... 4647 2279  108]]"	243.8271282135641	116.89328063241106
9	8	1	1	9	LF-0.05	Circle(xy=(642, 51), radius=9)	1461108	0.390625	Rectangle(xy=(597, 25), width=68, height=60, angle=0)	0.0	"[[  81   81  279 ...   88   66   76]
 [ 135   78  121 ...  107   75  128]
 [  69  117  111 ...   97  113   72]
 ...
 [ 302 1347  156 ...   43   86  264]
 [  89   90  201 ...   66   91  132]
 [ 141  209  196 ...   54   59  104]]"	309.37477604111956	192.6403162055336
10	9	1	1	10	LF-0.05	Circle(xy=(707, 53), radius=9)	1121923	0.390625	Rectangle(xy=(666, 25), width=68, height=60, angle=0)	0.003952569169960474	"[[ 190  284  116 ...   54   54   44]
 [ 110  150  134 ...   77   35   54]
 [ 126  230  126 ...   38   35   53]
 ...
 [  77   71   50 ...  125 1122 2478]
 [ 113  119   59 ...   82   56   93]
 [  84   37   64 ...   43   78 2218]]"	3516.269024795909	629.501976284585
