ID	Unnamed: 0	Block	Row	Column	Name	circles	intensities	circle_qual	squares	intensities2_b	spot_images	std_intensities2	intensities2
1	0	1	1	1	LF-0.05	Circle(xy=(95.5, 110.5), radius=18)	3746510	0.0	Rectangle(xy=(57.5, 76.5), width=67, height=59, angle=0)	0.0892156862745098	"[[ 966  439  480 ...  522  529  763]
 [ 840  503  546 ...  448  267  287]
 [1740  835  518 ...  389  248  318]
 ...
 [4810  845  948 ...  631  879  943]
 [ 546  772  929 ...  767  471  303]
 [ 377  901  465 ...  301  363  434]]"	1695.2472549717445	964.6009803921569
2	1	1	1	2	LF-0.05	Circle(xy=(162.5, 109.5), radius=18)	3001509	0.0	Rectangle(xy=(124.5, 75.5), width=67, height=59, angle=0)	0.1931372549019608	"[[ 608  505  348 ...  541  483  703]
 [ 462  339  637 ...  370  530  725]
 [ 308  511  441 ...  518  731  913]
 ...
 [ 805  821 1114 ...  301  830  316]
 [1006 1551 3396 ...  838  323  471]
 [2326 8947 3333 ...  359  331  839]]"	2507.3981509141713	700.006862745098
3	2	1	1	3	LF-0.05	Circle(xy=(229.5, 109.5), radius=18)	2734714	0.0	Rectangle(xy=(191.5, 75.5), width=67, height=59, angle=0)	0.2696078431372549	"[[  767   373   415 ... 11044   743   929]
 [  495   621   332 ...  1744   498   466]
 [  592   378   285 ...   528   657  1544]
 ...
 [ 5861  1704  1751 ...   138   298   305]
 [ 2684  3412  1498 ...   249   256   352]
 [ 1057  3568   574 ...   356   997   238]]"	2979.3823792697563	780.0529411764705
4	3	1	1	4	LF-0.05	Circle(xy=(301, 98), radius=9)	2574791	0.25	Rectangle(xy=(258.5, 74.5), width=67, height=59, angle=0)	0.003952569169960474	"[[ 628  284  339 ...  703  604  249]
 [ 681  642  206 ...  533  367  477]
 [ 627  233  249 ...  246  261  331]
 ...
 [ 318  664  499 ...  382  293  408]
 [ 278  463  860 ...  487  394  258]
 [ 156  151 1039 ...  747  972 1158]]"	442.0645242885804	519.3873517786561
5	4	1	1	5	LF-0.05	Circle(xy=(346, 104), radius=10.8)	2631209	0.3750000000000001	Rectangle(xy=(325.5, 74.5), width=67, height=59, angle=0)	0.2328767123287671	"[[ 623  304  348 ...  521  296  835]
 [ 574  225  229 ...  932  437  681]
 [ 301  173  641 ...  452  282  371]
 ...
 [ 484  712  271 ...  463  121  743]
 [ 519 1017 1012 ...  292  327  168]
 [ 421  350  570 ...  278  242  951]]"	389.2078995679975	449.9095890410959
6	5	1	1	6	LF-0.05	Circle(xy=(424, 108), radius=9)	2115359	0.5	Rectangle(xy=(393.5, 74.5), width=67, height=59, angle=0)	1.158102766798419	"[[ 451  174  792 ...  536  529  520]
 [ 365 5551  545 ...  431  449  382]
 [ 594  158  362 ...  484  409  124]
 ...
 [1343  249  361 ...  306  281  197]
 [ 293  145  274 ...  840 1081 1540]
 [ 866 7267  725 ...  486  161  429]]"	846.8467103194041	1294.0316205533597
7	6	1	1	7	LF-0.05	Circle(xy=(497, 112), radius=9)	2101848	0.34375	Rectangle(xy=(460.5, 73.5), width=67, height=59, angle=0)	0.8735177865612648	"[[ 213  148  793 ...  315  302  921]
 [ 143 1122 1162 ...  282  462  496]
 [ 390  842 1216 ...  392  566  438]
 ...
 [ 168  838  259 ...  186  312  275]
 [ 309  269  144 ...  319  206  442]
 [ 161   93  201 ...  317  240  211]]"	941.8816015813557	1134.3162055335968
8	7	1	1	8	LF-0.05	Circle(xy=(548, 103), radius=9)	2527558	0.484375	Rectangle(xy=(527.5, 73.5), width=67, height=59, angle=0)	0.6363636363636364	"[[ 351  488  348 ...  294  421  665]
 [ 368  443  261 ...  393  688 1027]
 [ 340  255  215 ...  252  538  505]
 ...
 [ 996  221  248 ...  257  188  176]
 [ 335  598  371 ... 1670  212  257]
 [ 475  612  604 ...  280  381  321]]"	652.79882158105	689.6403162055336
9	8	1	1	9	LF-0.05	Circle(xy=(624, 111), radius=9)	2448929	0.484375	Rectangle(xy=(594.5, 73.5), width=67, height=59, angle=0)	0.6007905138339921	"[[ 1213 11481  1227 ...   438   320  1092]
 [  559   327   487 ...   690   352   316]
 [  932  1605   470 ...   299   304   316]
 ...
 [  173  1103   328 ...   528   526  2194]
 [  100   346   223 ...   857   595   707]
 [  178   348   216 ...   749   725   840]]"	2595.907658606775	778.9288537549407
10	9	1	1	10	LF-0.05	Circle(xy=(691, 110), radius=10.8)	2378523	0.4583333333333335	Rectangle(xy=(661.5, 72.5), width=67, height=59, angle=0)	0.4904109589041096	"[[ 339 6449  856 ...  559  526  579]
 [1730  307  257 ... 1425  314  542]
 [ 234  261  423 ...  473  608 1855]
 ...
 [2937  415  465 ...  120  146  356]
 [ 481 9258  802 ... 1647  167  145]
 [ 297  431  696 ...  232  357  545]]"	902.4148833048234	799.331506849315
11	10	1	1	11		Circle(xy=(741, 120), radius=9)	1864204	0.140625	Rectangle(xy=(729.5, 72.5), width=67, height=59, angle=0)	0.007905138339920948	"[[310 216 309 ... 530 243 230]
 [245 252 589 ... 234 486 264]
 [451 612 735 ... 356 262 238]
 ...
 [318 291 324 ... 333 320 667]
 [913 173 205 ... 348 317 550]
 [327 154 243 ... 261 367 207]]"	279.4941145220998	435.5375494071146
12	11	1	1	12		Circle(xy=(823, 117), radius=9)	1000286	0.28125	Rectangle(xy=(796.5, 72.5), width=67, height=59, angle=0)	0.0	"[[ 461  190  195 ...  238  464  727]
 [ 278  695  388 ...  226  182  163]
 [ 342  722  470 ...  199  130  128]
 ...
 [ 282  282  266 ...  105  111  177]
 [ 210  246  363 ...  134  221  337]
 [ 510  444 1652 ...  193  188  139]]"	102.39221379325788	144.02371541501975
13	12	1	1	13		Circle(xy=(874, 89), radius=9)	1120942	0.171875	Rectangle(xy=(863.5, 71.5), width=67, height=59, angle=0)	1.1976284584980237	"[[146 122 175 ... 301 177 474]
 [141 137 154 ... 150 333 164]
 [ 58  88 113 ... 198 279 220]
 ...
 [112 121 126 ... 131 196 242]
 [149  94 149 ... 183 659 471]
 [134 190 188 ... 413 851 614]]"	452.3895521153173	394.1818181818182
14	13	1	1	14		Circle(xy=(965, 86), radius=10.8)	1453382	0.2083333333333334	Rectangle(xy=(930.5, 71.5), width=67, height=59, angle=0)	0.00821917808219178	"[[ 114 2031  107 ...  324  328  297]
 [ 223  143  104 ...  167  145  249]
 [ 208  133  211 ...  608  321  310]
 ...
 [  87  265  405 ...  300  330  407]
 [ 277  197  340 ...  575 1915  259]
 [ 383  293  191 ...  266  122  183]]"	318.78200430324233	324.73150684931505
