505	P008
506	P009
507	P010
508	P012
509	P013
510	Nenad
511	LF 0.1
512	P043
513	P044
514	P045.3
515	P047
516	P048
517	P050
518	P052
519	P054
520	P055
521	P056
522	P057
523	P059
524	P060
525	P061
526	P063
527	P065
528	P066
529	P067
530	P068
531	P069
532	LF 0.1
533	P070
534	P071
535	P072
536	P073
537	P074
538	P075
539	P076
540	P077
541	P136
542	P131.2
543	LF 0.1
544	P114
545	P115
546	P131.1
547	P132
548	P133
549	P116
550	P134
551	P117
552	P118
553	P119
554	P128
555	P135
556	LF 0.1
557	P120
558	P121
559	P122
560	P123
561	P124
562	P125
563	P130
564	P127
565	LF 0.05
566	LF 0.01
567	LF 0.001
568	LF 0.0001
569	LF 0.5
570	
571	
572	
573	P080
574	P081
575	P082
576	P083
577	P084
578	P086
579	P088
580	P089
581	P090
582	LF 0.1
583	P091
584	P094
585	P095
586	P096
587	P098
588	P099
589	P100
590	P101
591	P102
592	P103
593	LF 0.1
594	P104
595	P105
596	P106
597	P007
598	P008
599	P009
600	P010
601	P012
602	P013
603	Nenad
604	LF 0.1
605	P043
606	P044
607	P045.3
608	P047
609	P048
610	P050
611	P052
612	P054
613	P055
614	P056
615	P057
616	P059
617	P060
618	P061
619	P063
620	P065
621	P066
622	P067
623	P068
624	P069
625	LF 0.1
626	P070
627	P071
628	P072
629	P073
630	P074
631	P075
632	P076
633	P077
634	P136
635	P131.2
636	LF 0.1
637	P114
638	P115
639	P131.1
640	P132
641	P133
642	P116
643	P134
644	P117
645	P118
646	P119
647	P128
648	P135
649	LF 0.1
650	P120
651	P121
652	P122
653	P123
654	P124
655	P125
656	P130
657	P127
658	LF 0.05
659	LF 0.01
660	LF 0.001
661	LF 0.0001
662	LF 0.5
663	
664	
665	
666	P080
667	P081
668	P082
669	P083
670	P084
671	P086
672	P088
673	P089
674	P090
675	LF 0.1
676	P091
677	P094
678	P095
679	P096
680	P098
681	P099
682	P100
683	P101
684	P102
685	P103
686	LF 0.1
687	P104
688	P105
689	P106
690	P007
691	P008
692	P009
693	P010
694	P012
695	P013
696	Nenad
697	LF 0.1
698	P043
699	P044
700	P045.3
701	P047
702	P048
703	P050
704	P052
705	P054
706	P055
707	P056
708	P057
709	P059
710	P060
711	P061
712	P063
713	P065
714	P066
715	P067
716	P068
717	P069
718	LF 0.1
719	P070
720	P071
721	P072
722	P073
723	P074
724	P075
725	P076
726	P077
727	P136
728	P131.2
729	LF 0.1
730	P114
731	P115
732	P131.1
733	P132
734	P133
735	P116
736	P134
737	P117
738	P118
739	P119
740	P128
741	P135
742	LF 0.1
743	P120
744	P121
745	P122
746	P123
747	P124
748	P125
749	P130
750	P127
751	LF 0.05
752	LF 0.01
753	LF 0.001
754	LF 0.0001
755	LF 0.5
756	
757	
758	
759	P080
760	P081
761	P082
762	P083
763	P084
764	P086
765	P088
766	P089
767	P090
768	LF 0.1
769	P091
770	P094
771	P095
772	P096
773	P098
774	P099
775	P100
776	P101
777	P102
778	P103
779	LF 0.1
780	P104
781	P105
782	P106
783	P007
784	P008
785	P009
786	P010
787	P012
788	P013
789	Nenad
790	LF 0.1
791	P043
792	P044
793	P045.3
794	P047
795	P048
796	P050
797	P052
798	P054
799	P055
800	P056
801	P057
802	P059
803	P060
804	P061
805	P063
806	P065
807	P066
808	P067
809	P068
810	P069
811	LF 0.1
812	P070
813	P071
814	P072
815	P073
816	P074
817	P075
818	P076
819	P077
820	P136
821	P131.2
822	LF 0.1
823	P114
824	P115
825	P131.1
826	P132
827	P133
828	P116
829	P134
830	P117
831	P118
832	P119
833	P128
834	P135
835	LF 0.1
836	P120
837	P121
838	P122
839	P123
840	P124
841	P125
842	P130
843	P127
844	LF 0.05
845	LF 0.01
846	LF 0.001
847	LF 0.0001
848	LF 0.5
849	
850	
851	
852	LF 0.05
853	LF 0.05
854	
