ID	Unnamed: 0	Block	Row	Column	Name	circles	intensities	circle_qual	squares	intensities2_b	spot_images	std_intensities2	intensities2
1	0	1	1	1	LF-0.05	Circle(xy=(82, 144), radius=9)	583201	0.34375	Rectangle(xy=(50.5, 111.5), width=67, height=59, angle=0)	1.2529644268774704	"[[ 59  40  64 ... 145  52  37]
 [ 51  67  37 ...  72 107  68]
 [ 31  97  89 ...  83  46  60]
 ...
 [ 72  95  91 ... 103  86  80]
 [167  50  87 ... 160 336  93]
 [ 94  85  75 ...  77 152 390]]"	262.67273832223486	418.29644268774706
2	1	1	1	2	LF-0.05	Circle(xy=(150, 147), radius=9)	506152	0.3125	Rectangle(xy=(117.5, 110.5), width=67, height=59, angle=0)	0.7430830039525692	"[[ 68  63  83 ... 108 119  84]
 [140  56  55 ...  44  59 120]
 [ 73  61  58 ... 124  94 110]
 ...
 [ 96  83  71 ...  56  55  94]
 [ 50  83  58 ...  66 110 216]
 [ 80  84  94 ... 326  67  61]]"	285.0282118784993	274.8181818181818
3	2	1	1	3	LF-0.05	Circle(xy=(221, 143), radius=9)	608328	0.296875	Rectangle(xy=(184.5, 110.5), width=67, height=59, angle=0)	0.8774703557312253	"[[ 27  82  48 ...  79  97  51]
 [ 64  83 119 ...  83  93  70]
 [ 67  60 131 ...  75  79 158]
 ...
 [ 89  89  83 ...  81  77  73]
 [141  98  64 ...  64  85  80]
 [ 56  83  40 ... 104  87  42]]"	313.9411772240141	315.59683794466406
4	3	1	1	4	LF-0.05	Circle(xy=(287, 147), radius=9)	428650	0.265625	Rectangle(xy=(251.5, 110.5), width=67, height=59, angle=0)	0.932806324110672	"[[104  77  67 ...  93 149  93]
 [ 68  47  62 ...  69 235 188]
 [ 59  88 103 ... 108  86 155]
 ...
 [ 42 103  57 ...  84  95  66]
 [ 95  92  78 ... 116 121  65]
 [ 68 105  63 ...  75  55  73]]"	320.25506895425565	309.94466403162056
5	4	1	1	5	LF-0.05	Circle(xy=(356, 144), radius=9)	431177	0.265625	Rectangle(xy=(319.5, 109.5), width=67, height=59, angle=0)	0.8695652173913043	"[[112 133  94 ...  83  92  89]
 [ 90  86  49 ...  84  25  58]
 [ 75  64 119 ... 102  83  68]
 ...
 [ 68  61  47 ...  61 103  45]
 [ 73  67  55 ...  46  62 110]
 [ 77  68  59 ...  77  88  50]]"	143.90917010375202	270.02371541501975
6	5	1	1	6	LF-0.05	Circle(xy=(422, 143), radius=9)	445807	0.296875	Rectangle(xy=(386.5, 109.5), width=67, height=59, angle=0)	0.8656126482213439	"[[ 67  99  52 ...  68  84 189]
 [ 99  47  61 ...  61  60 182]
 [ 45  99  99 ...  98  71 220]
 ...
 [ 66  47 175 ...  69  52  72]
 [ 95  37  57 ... 244  68  63]
 [ 74  44  74 ... 493  67  73]]"	171.4856641239928	270.498023715415
7	6	1	1	7	LF-0.05	Circle(xy=(487, 145), radius=9)	550514	0.28125	Rectangle(xy=(453.5, 109.5), width=67, height=59, angle=0)	0.8853754940711462	"[[   60   100   109 ...    48    51    62]
 [   95    81    93 ...    66    97    86]
 [   58    74    57 ...    69    72    65]
 ...
 [   67   101    99 ...    62    69    75]
 [  181   262    81 ...    63    61    84]
 [  190 12534  5752 ...    47    31    63]]"	114.77249666909502	227.1581027667984
8	7	1	1	8	LF-0.05	Circle(xy=(557, 146), radius=9)	388184	0.328125	Rectangle(xy=(521.5, 109.5), width=67, height=59, angle=0)	0.9525691699604744	"[[60 59 55 ... 57 52 91]
 [73 55 88 ... 69 57 66]
 [97 66 59 ... 75 89 72]
 ...
 [48 42 82 ... 54 55 49]
 [95 71 51 ... 38 58 61]
 [47 49 76 ... 69 81 58]]"	142.0952332780575	269.99604743083006
9	8	1	1	9	LF-0.05	Circle(xy=(623, 147), radius=9)	295183	0.3125	Rectangle(xy=(588.5, 108.5), width=67, height=59, angle=0)	0.6561264822134387	"[[117  77  75 ...  69  54  84]
 [ 79  76  84 ...  71  61  93]
 [ 50 212 152 ...  53  66 105]
 ...
 [ 51  67  33 ...  67  82 110]
 [ 79  40  51 ...  44  66  98]
 [ 88  99  44 ...  64  55  92]]"	75.54436976805493	165.97233201581028
10	9	1	1	10	LF-0.05	Circle(xy=(686, 149), radius=9)	340294	0.25	Rectangle(xy=(655.5, 108.5), width=67, height=59, angle=0)	0.10276679841897234	"[[ 71  67  41 ...  42 170 161]
 [ 65  69  86 ...  69  88  85]
 [ 78  77  31 ...  48  35  62]
 ...
 [ 97 110  45 ...  45  90  50]
 [ 74  38  97 ...  64  58  58]
 [ 60  70  44 ...  88  49  56]]"	54.07374308998865	79.94861660079052
