ID	Unnamed: 0	Block	Row	Column	Name	circles	intensities	circle_qual	squares	intensities2_b	spot_images	std_intensities2	intensities2
1	0	1	1	1	LF-0.05	Circle(xy=(86, 142), radius=9)	494854	0.296875	Rectangle(xy=(50.5, 111.5), width=67, height=59, angle=0)	0.15019762845849802	"[[ 52 406 217 ...  78  56  91]
 [ 62  41  65 ... 200 112 129]
 [ 73  34  42 ...  57  58 146]
 ...
 [ 44  46  68 ...  51  47  44]
 [ 77 211 112 ...  39  54  36]
 [ 58  54  80 ...  72  58  67]]"	372.74343444479143	215.64426877470356
2	1	1	1	2	LF-0.05	Circle(xy=(152, 148), radius=9)	530628	0.28125	Rectangle(xy=(117.5, 110.5), width=67, height=59, angle=0)	0.2845849802371542	"[[ 75  71  79 ...  75  32  88]
 [ 81  53 110 ... 110  56  71]
 [ 62  56 136 ...  51  46  70]
 ...
 [106  51  68 ...  65  32  74]
 [ 53 139  60 ...  36  58  67]
 [ 83  41  87 ...  53  38  80]]"	691.2698038587715	295.0830039525692
3	2	1	1	3	LF-0.05	Circle(xy=(221, 148), radius=9)	403476	0.234375	Rectangle(xy=(184.5, 110.5), width=67, height=59, angle=0)	0.25296442687747034	"[[ 68  34 144 ...  41  60  61]
 [ 44  84  62 ...  43  55  75]
 [ 29 194 101 ...  79  38  43]
 ...
 [ 94  77  54 ...  80  72  64]
 [ 59  52 107 ...  59  52  53]
 [ 74  57  51 ...  69  61  77]]"	220.61271085767703	269.69169960474306
4	3	1	1	4	LF-0.05	Circle(xy=(292, 149), radius=9)	548578	0.28125	Rectangle(xy=(251.5, 110.5), width=67, height=59, angle=0)	0.08300395256916997	"[[105  78  34 ...  58 150  74]
 [ 63  46  68 ...  94 218  77]
 [ 91  76  68 ... 100 486  94]
 ...
 [104 102  91 ...  44  74  45]
 [128  68  93 ...  78  33  83]
 [ 81  72  87 ...  63  85  28]]"	244.32112880241073	265.2885375494071
5	4	1	1	5	LF-0.05	Circle(xy=(358, 148), radius=9)	424542	0.25	Rectangle(xy=(319.5, 109.5), width=67, height=59, angle=0)	0.31620553359683795	"[[ 77  77  62 ...  71  36  59]
 [211 163 161 ...  82  44  43]
 [162 138  82 ...  65  36  37]
 ...
 [ 75  70  67 ...  68  40 151]
 [ 53  45  48 ...  96  88  58]
 [ 80  90  62 ...  58 243  43]]"	334.99518298883714	397.2134387351779
6	5	1	1	6	LF-0.05	Circle(xy=(426, 146), radius=9)	396799	0.296875	Rectangle(xy=(386.5, 109.5), width=67, height=59, angle=0)	0.2964426877470356	"[[  35   77   99 ...   42   36   76]
 [  36   71   47 ...   60   26   54]
 [  33   42  353 ...   60   46   63]
 ...
 [  66   61   71 ...  103   51   52]
 [1596  181   53 ...   44  112   52]
 [  87   96   58 ...   63   23  141]]"	255.91495785371262	374.7470355731225
7	6	1	1	7	LF-0.05	Circle(xy=(496, 147), radius=9)	488616	0.296875	Rectangle(xy=(453.5, 109.5), width=67, height=59, angle=0)	0.1383399209486166	"[[ 78  51  27 ...  51  74  51]
 [ 41  45  74 ...  44  62  51]
 [ 58  73  61 ...  29  41  49]
 ...
 [ 69  47  79 ...  72  81  73]
 [ 78  37  55 ...  41  83 168]
 [ 74  52  64 ...  75  54  43]]"	3007.542933202348	494.501976284585
8	7	1	1	8	LF-0.05	Circle(xy=(565, 147), radius=9)	367788	0.265625	Rectangle(xy=(521.5, 109.5), width=67, height=59, angle=0)	0.0	"[[148  65  49 ...  83  50  38]
 [ 29  76  71 ...  88  97  41]
 [ 53  66  85 ... 855  94  41]
 ...
 [ 85  91 268 ...  53  39  40]
 [100  61 162 ...  71  54  32]
 [ 44  65  31 ...  44  58  60]]"	385.7602436526668	250.2411067193676
9	8	1	1	9	LF-0.05	Circle(xy=(622, 146), radius=9)	360890	0.265625	Rectangle(xy=(588.5, 108.5), width=67, height=59, angle=0)	0.6086956521739131	"[[ 61  47  43 ... 219  57  68]
 [ 48  46  52 ...  99  78  95]
 [ 53  64  32 ...  65  88  81]
 ...
 [ 54  74  69 ...  46 419 145]
 [ 67  68  66 ...  96 118  74]
 [ 78  57  75 ...  60  52  49]]"	263.6578301314951	342.12252964426875
10	9	1	1	10	LF-0.05	Circle(xy=(692, 144), radius=9)	342391	0.265625	Rectangle(xy=(655.5, 108.5), width=67, height=59, angle=0)	0.25296442687747034	"[[ 70  65  47 ...  51  50 113]
 [ 70  39  38 ...  66  52  49]
 [ 57  60  78 ...  45  41  71]
 ...
 [ 67  71  81 ...  59  64  75]
 [834 107  75 ...  81 211 121]
 [ 51 110 461 ...  56  55  75]]"	188.35015944200114	303.0632411067194
11	10	1	1	11		Circle(xy=(760.5, 142.5), radius=18)	282156	0.0	Rectangle(xy=(722.5, 108.5), width=67, height=59, angle=0)	0.000980392156862745	"[[ 53 130  30 ...  43  43  69]
 [ 74  51  64 ...  86  34  81]
 [ 68  48  51 ...  52 135  51]
 ...
 [ 92  62  33 ...  49  73  40]
 [ 60  23  67 ...  35  63 125]
 [ 99  59  50 ...  39  51  60]]"	59.50835282657601	68.37450980392157
12	11	1	1	12		Circle(xy=(800, 122), radius=9)	518851	0.296875	Rectangle(xy=(790.5, 107.5), width=67, height=59, angle=0)	0.0	"[[ 44  48  45 ... 102  81 105]
 [ 39  69  53 ... 136  59  50]
 [ 68  51 101 ...  76 109  53]
 ...
 [ 57  46  64 ...  65  49  70]
 [ 49  87 177 ...  66  80 304]
 [ 34  31  64 ...  45  69  54]]"	26.95335949831492	63.17391304347826
13	12	1	1	13		Circle(xy=(862, 168), radius=9)	306495	0.140625	Rectangle(xy=(857.5, 107.5), width=67, height=59, angle=0)	0.0	"[[ 40  58  43 ...  49  55  97]
 [ 54  69  76 ...  45  62  48]
 [ 52  89  35 ...  66 116  57]
 ...
 [ 84  48 100 ...  71 346  84]
 [234  79  35 ...  64  64  92]
 [ 63  58  75 ...  37  87  46]]"	1599.5701477003659	250.13513513513513
14	13	1	1	14		Circle(xy=(962.5, 141.5), radius=18)	293062	0.0	Rectangle(xy=(924.5, 107.5), width=67, height=59, angle=0)	0.0	"[[ 52  70  45 ...  80  46  87]
 [ 34  38 110 ...  74 107 106]
 [ 64  74  67 ...  61  91  78]
 ...
 [ 51  35  59 ...  71  48  57]
 [ 41  29  41 ...  77  59  52]
 [ 36  57  35 ...  45  61  48]]"	59.832881609074455	69.06862745098039
15	14	1	1	15		Circle(xy=(1022, 117), radius=9)	384177	0.25	Rectangle(xy=(992.5, 107.5), width=67, height=59, angle=0)	0.0	"[[121  72 235 ...  40  53  53]
 [ 72  50  54 ...  61  95  29]
 [ 55  56  25 ...  40  48  67]
 ...
 [ 29  49  95 ...  52  70 135]
 [ 64  68  33 ...  28  63  45]
 [ 54 103  45 ...  44  51  57]]"	74.3088663673678	71.89723320158103
16	15	1	2	1	P080	Circle(xy=(85, 197), radius=9)	531602	0.28125	Rectangle(xy=(50.5, 170.5), width=67, height=59, angle=0)	0.019762845849802372	"[[123 308  50 ... 112  93  59]
 [ 75  47  41 ...  43  68  96]
 [ 31  59  47 ...  41 210  64]
 ...
 [ 87  50  43 ...  46  69  34]
 [ 50  53  48 ...  38  68  87]
 [ 67  31  53 ...  86  64  60]]"	95.61955116117414	79.28853754940711
17	16	1	2	2	P081	Circle(xy=(155, 200), radius=16.2)	2873628	0.45192307692307726	Rectangle(xy=(117.5, 170.5), width=67, height=59, angle=0)	0.08685162846803378	"[[ 51  73  66 ...  50  50  24]
 [ 37  41  31 ...  61  56  36]
 [ 49  69  71 ...  59  62  59]
 ...
 [ 61  43  40 ...  53  90  76]
 [ 48  75  56 ...  71  52  72]
 [ 59  69  43 ...  86 114  89]]"	2389.127711843387	1653.096501809409
18	17	1	2	3	P082	Circle(xy=(222, 202), radius=16.2)	2853560	0.5673076923076925	Rectangle(xy=(184.5, 169.5), width=67, height=59, angle=0)	0.022919179734620022	"[[  76   43   51 ...   91   79  104]
 [  67   46   53 ...   50   98   60]
 [  70   43   48 ...   90   37   52]
 ...
 [  53   41 4909 ...   66  103  113]
 [  71  641   62 ...  192   86   74]
 [  45   88   43 ...   76   41   80]]"	2066.105159996137	1773.5102533172496
19	18	1	2	4	P083	Circle(xy=(292, 203), radius=16.2)	1440850	0.6538461538461537	Rectangle(xy=(252.5, 169.5), width=67, height=59, angle=0)	0.13510253317249699	"[[ 40  58  71 ...  58  58  71]
 [ 72  85 352 ...  81  96 128]
 [106  50 100 ...  79  57  58]
 ...
 [ 49  69 111 ...  60  53  85]
 [ 90  90  55 ...  64  64  41]
 [110  70  61 ...  31  49  36]]"	1312.1066007671677	891.5440289505428
20	19	1	2	5	P084	Circle(xy=(358, 207), radius=14.4)	22460013	0.5312500000000002	Rectangle(xy=(319.5, 169.5), width=67, height=59, angle=0)	6.365296803652968	"[[103 100  71 ...  93  54  75]
 [ 89  37  91 ...  32  69  82]
 [ 50 111  65 ...  50  68  52]
 ...
 [ 65  82  41 ...  77  68  96]
 [ 53  71  53 ...  57  67  64]
 [ 54  69  63 ...  63  81  52]]"	23484.476298123118	32669.541856925418
21	20	1	2	6	P086	Circle(xy=(421, 206), radius=18)	952920	0.4000000000000004	Rectangle(xy=(386.5, 169.5), width=67, height=59, angle=0)	0.7661050545094152	"[[ 50  61  54 ... 114  72  71]
 [ 86  89  58 ...  82  40  42]
 [ 54  54  75 ...  57  33  43]
 ...
 [ 84  56 146 ...  51  60  63]
 [108 101 142 ...  67  70  52]
 [114 658 167 ...  91  57 171]]"	3036.0985986612754	652.3300297324083
22	21	1	2	7	P088	Circle(xy=(494, 203), radius=18)	596590	0.47500000000000064	Rectangle(xy=(453.5, 168.5), width=67, height=59, angle=0)	0.01684836471754212	"[[ 53  98  66 ...  84  75  35]
 [ 61  53  94 ...  43  48  55]
 [ 38  73  86 ...  56  62  84]
 ...
 [ 47  47  82 ...  56  42 413]
 [ 77  86  69 ...  84  91  96]
 [ 49  97  84 ...  62  39  52]]"	415.67968926193936	273.4390485629336
23	22	1	2	8	P089	Circle(xy=(564, 201), radius=18)	849225	0.6083333333333336	Rectangle(xy=(521.5, 168.5), width=67, height=59, angle=0)	0.3607532210109019	"[[ 68  43  60 ... 103 113  60]
 [ 78  73  64 ...  59 113 366]
 [107  72  94 ...  43  45  69]
 ...
 [190  93  61 ...  62 125 108]
 [ 61  74  44 ...  62 105  82]
 [ 59 205 130 ...  87  62 116]]"	448.33426420595043	326.5569871159564
