ID	Unnamed: 0	Block	Row	Column	Name	circles	intensities	circle_qual	squares	intensities2_b	spot_images	std_intensities2	intensities2
1	0	1	1	1	LF-0.05	Circle(xy=(81, 121), radius=9)	1075348	0.875	Rectangle(xy=(44.5, 93.5), width=67, height=59, angle=0)	0.4624505928853755	"[[121 156 171 ...  92 139 118]
 [ 84  91 113 ... 125 128 103]
 [ 57 102  85 ...  91 144 149]
 ...
 [126 103  78 ... 163 140 366]
 [141  62  68 ...  87 111  69]
 [ 80  79 120 ...  64 127 521]]"	298.66777765048107	239.11462450592884
2	1	1	1	2	LF-0.05	Circle(xy=(147, 121), radius=9)	830581	0.546875	Rectangle(xy=(111.5, 92.5), width=67, height=59, angle=0)	0.9407114624505929	"[[ 83  67  83 ... 145  45 163]
 [ 86 114  56 ...  89  96  93]
 [ 93 321 179 ... 118 109  68]
 ...
 [180 115 155 ... 137  60 103]
 [103 126 119 ...  78  58  72]
 [115  79 162 ...  97  62  73]]"	416.18144433664145	357.8181818181818
3	2	1	1	3	LF-0.05	Circle(xy=(212, 121), radius=9)	795278	0.421875	Rectangle(xy=(179.5, 91.5), width=67, height=59, angle=0)	1.4980237154150198	"[[ 97 127  99 ...  92  83  69]
 [ 55  75  81 ...  79  59 146]
 [163  86 104 ...  59  41  58]
 ...
 [ 94  82  57 ...  59  95 123]
 [141 104 106 ... 184  98 112]
 [ 68 124  54 ... 127  66  45]]"	398.62469953618887	454.09486166007906
4	3	1	1	4	LF-0.05	Circle(xy=(285, 122), radius=9)	548001	0.671875	Rectangle(xy=(246.5, 91.5), width=67, height=59, angle=0)	0.5454545454545454	"[[ 62  75  66 ...  63  64  65]
 [ 42  92  74 ...  88  58  73]
 [ 87  95 105 ...  88 105  48]
 ...
 [ 66  52 133 ...  55  70  78]
 [ 48 167  50 ...  63  85  46]
 [101 100  84 ...  90  71  74]]"	343.4627240558341	257.27667984189725
5	4	1	1	5	LF-0.05	Circle(xy=(350, 121), radius=9)	438354	0.328125	Rectangle(xy=(314.5, 90.5), width=67, height=59, angle=0)	0.8142292490118577	"[[ 74  54  78 ...  34  79  56]
 [ 74  39  81 ...  39  52  60]
 [102  43 236 ... 571  57  88]
 ...
 [ 81  84  81 ...  65  44  91]
 [ 82  95  60 ... 341  90  52]
 [ 73 106  55 ...  85  50  37]]"	269.8474195995772	238.29249011857706
6	5	1	1	6	LF-0.05	Circle(xy=(415, 123), radius=9)	477967	0.3125	Rectangle(xy=(382.5, 90.5), width=67, height=59, angle=0)	1.8695652173913044	"[[103  50  52 ...  77 274  98]
 [ 68  94  84 ... 139  98 154]
 [ 65  51  95 ...  71  91  71]
 ...
 [ 92 108  78 ...  37  38  45]
 [ 80  56  99 ...  58  50  75]
 [ 55  43  92 ...  84  80  63]]"	396.4911640884005	491.901185770751
7	6	1	1	7	LF-0.05	Circle(xy=(485, 119), radius=9)	554040	0.328125	Rectangle(xy=(449.5, 89.5), width=67, height=59, angle=0)	0.7984189723320159	"[[ 74 102 126 ... 121  69 105]
 [148 116  60 ... 121 142 113]
 [ 67  97  90 ... 109  74  57]
 ...
 [ 73  60  70 ...  88 130 142]
 [ 43  80  51 ...  58  45  70]
 [ 45  74  99 ... 116  78 134]]"	386.89220603475644	324.19367588932806
8	7	1	1	8	LF-0.05	Circle(xy=(558, 123), radius=9)	558936	0.328125	Rectangle(xy=(517.5, 89.5), width=67, height=59, angle=0)	0.4901185770750988	"[[ 67 117  50 ...  44  76 122]
 [104  84 194 ...  93  92 100]
 [ 99  66  96 ... 106  99  75]
 ...
 [ 61 156 222 ...  89  94  56]
 [ 97 281  93 ... 108  67  84]
 [ 85 111  46 ...  97  42  59]]"	233.65928172971465	208.53359683794466
9	8	1	1	9	LF-0.05	Circle(xy=(625, 121), radius=9)	579493	0.4375	Rectangle(xy=(585.5, 88.5), width=67, height=59, angle=0)	0.5296442687747036	"[[133 360  68 ...  46  45  89]
 [ 74  96 121 ...  68  52  88]
 [104 106  95 ...  57  50  88]
 ...
 [ 97  64  78 ... 128  67  74]
 [ 54 106 114 ...  77  73  94]
 [ 89  83  81 ...  94 115  77]]"	208.88149730621592	203.44268774703556
10	9	1	1	10	LF-0.05	Circle(xy=(687, 118), radius=9)	613109	0.734375	Rectangle(xy=(652.5, 87.5), width=67, height=59, angle=0)	0.9011857707509882	"[[ 60  42  68 ... 116  40  45]
 [ 45  63  46 ...  84  73  64]
 [ 43  75  52 ...  52  46 118]
 ...
 [ 88  41  77 ...  36 124  70]
 [ 54 128  85 ...  85 124  49]
 [114  79  92 ...  94  84  98]]"	322.04120570870936	346.77470355731225
11	10	1	1	11		Circle(xy=(758.5, 121.5), radius=18)	492513	0.0	Rectangle(xy=(720.5, 87.5), width=67, height=59, angle=0)	0.0392156862745098	"[[ 72  59  94 ...  66  77  91]
 [ 79  87 106 ...  42  33  50]
 [ 78  73  59 ...  40  92  50]
 ...
 [ 84  80  76 ...  89  42 176]
 [252  73 116 ... 153 138 103]
 [137  92  83 ... 151  57 263]]"	1147.1938479838445	140.14901960784314
12	11	1	1	12		Circle(xy=(832, 136), radius=9)	326214	0.140625	Rectangle(xy=(788.5, 86.5), width=67, height=59, angle=0)	0.0	"[[ 36  49  30 ...  54  37  48]
 [ 64  87  53 ...  56  49  53]
 [ 48  87  73 ...  57  30  47]
 ...
 [ 55  72  34 ...  74  58  64]
 [ 54  71  84 ... 108 107 138]
 [ 47 127  70 ...  59  73  56]]"	40.154920728724626	79.75
13	12	1	1	13		Circle(xy=(893.5, 120.5), radius=18)	226755	0.0	Rectangle(xy=(855.5, 86.5), width=67, height=59, angle=0)	0.03529411764705882	"[[ 70  48  48 ...  41  44  69]
 [ 69  89  48 ...  51  57  49]
 [ 35  49  36 ...  55  46  64]
 ...
 [ 88 116  77 ...  53  60  63]
 [ 99  60  56 ...  52  52 129]
 [ 85  65  59 ...  96  57  56]]"	33.47514160879034	59.180392156862744
14	13	1	1	14		Circle(xy=(961.5, 119.5), radius=18)	220130	0.0	Rectangle(xy=(923.5, 85.5), width=67, height=59, angle=0)	0.0	"[[ 86  68  43 ...  43  42  45]
 [ 50  33  66 ...  69  53  56]
 [ 56  42  35 ...  89  50  49]
 ...
 [ 65  48  81 ...  80  71  78]
 [ 69  29  54 ...  37 130  61]
 [ 54  44  40 ...  31  50  99]]"	18.207979226073288	56.970588235294116
15	14	1	1	15		Circle(xy=(1042, 104), radius=9)	282088	0.125	Rectangle(xy=(991.5, 85.5), width=67, height=59, angle=0)	0.011857707509881422	"[[ 42  66  63 ...  60 107  92]
 [ 45  30  56 ...  60  66  72]
 [ 74  34  46 ...  52  67  48]
 ...
 [ 49  70  39 ...  60  54  83]
 [ 75  47  36 ...  46  48  54]
 [ 49  51  67 ...  69  37  67]]"	395.38976419654006	114.96047430830039
16	15	1	2	1	P080	Circle(xy=(76, 198), radius=12.6)	18885876	0.3068181818181817	Rectangle(xy=(44.5, 152.5), width=67, height=59, angle=0)	2.056338028169014	"[[ 92 115  83 ... 465 269 122]
 [ 92 151  64 ...  95  96 162]
 [ 71 294 118 ...  98  71 116]
 ...
 [124  70  42 ... 105  85  62]
 [ 89  92 160 ...  91  84  58]
 [103  89  44 ...  89  52 137]]"	7072.527651423651	1761.953722334004
