ID	Unnamed: 0	Block	Row	Column	Name	circles	intensities	circle_qual	squares	intensities2_b	spot_images	std_intensities2	intensities2
1	0	1	1	1	LF-0.05	Circle(xy=(63, 83), radius=9)	675292	0.390625	Rectangle(xy=(43.5, 44.5), width=67, height=59, angle=0)	0.003952569169960474	"[[ 68  85 115 ... 138 177 752]
 [114  51 183 ... 341 123 130]
 [108  83 103 ... 102  72  90]
 ...
 [ 42 131  76 ...  84  87  84]
 [105  75 113 ... 181  87  99]
 [ 73 140  85 ...  70  82  84]]"	403.5861654022879	150.9604743083004
2	1	1	1	2	LF-0.05	Circle(xy=(148.5, 77.5), radius=18)	637630	0.0	Rectangle(xy=(110.5, 43.5), width=67, height=59, angle=0)	0.5186274509803922	"[[ 90  68 143 ... 112 197 221]
 [109  80 284 ... 153 143 155]
 [ 95 126  73 ... 132 108 118]
 ...
 [ 91  88 109 ... 112  86 113]
 [146 106  88 ...  71  90  70]
 [ 98  87  92 ... 106 134 103]]"	270.30598795473065	203.16666666666666
3	2	1	1	3	LF-0.05	Circle(xy=(193, 82), radius=10.8)	1035171	0.3750000000000001	Rectangle(xy=(178.5, 43.5), width=67, height=59, angle=0)	0.005479452054794521	"[[292 108 196 ...  83 128 119]
 [155 286 171 ...  54 100 138]
 [217  94 155 ... 124 105  77]
 ...
 [ 77  91  63 ... 364 358 216]
 [ 63  99  74 ... 244 244 260]
 [ 60 121  74 ... 260 404 263]]"	37.0731991869408	103.18082191780822
4	3	1	1	4	LF-0.05	Circle(xy=(284.5, 77.5), radius=18)	1306144	0.0	Rectangle(xy=(246.5, 43.5), width=67, height=59, angle=0)	0.5774509803921568	"[[  45   83  113 ...  227  219  256]
 [ 151 1025   76 ...  188  175  242]
 [ 100  141  131 ...  172  202  183]
 ...
 [ 156  252  199 ...  296  192  268]
 [ 221  205  369 ...  172  206  471]
 [ 237  150  217 ...  297  260  222]]"	213.1523228682645	294.50098039215686
5	4	1	1	5	LF-0.05	Circle(xy=(352.5, 77.5), radius=18)	1273312	0.0	Rectangle(xy=(314.5, 43.5), width=67, height=59, angle=0)	0.8627450980392157	"[[200 265 145 ... 160 119 176]
 [167 143 204 ... 187 148 119]
 [239 211 180 ... 108 134 177]
 ...
 [368 417 399 ...  85 449 216]
 [372 341 296 ... 396 148 104]
 [234 254 320 ... 299 185 129]]"	303.42522704505524	344.928431372549
6	5	1	1	6	LF-0.05	Circle(xy=(420.5, 77.5), radius=18)	782305	0.0	Rectangle(xy=(382.5, 43.5), width=67, height=59, angle=0)	0.47843137254901963	"[[ 84  87  66 ... 107 144 111]
 [ 92 131  90 ... 154 101 114]
 [111 145  91 ...  84  74 125]
 ...
 [ 89  95 150 ... 107  98  80]
 [ 84  98 128 ...  55  67 152]
 [ 74  91 110 ...  79 107  98]]"	263.76565758692067	198.69411764705882
7	6	1	1	7	LF-0.05	Circle(xy=(465, 83), radius=9)	722024	0.859375	Rectangle(xy=(450.5, 43.5), width=67, height=59, angle=0)	0.0	"[[153 110 109 ... 132 160 101]
 [118 226 429 ...  87 126 100]
 [103 120 180 ...  69 105  91]
 ...
 [179 113 410 ... 129  70 113]
 [279 120  82 ...  76 128  74]
 [193 123  83 ... 195  48 103]]"	54.602068631673404	134.4505928853755
8	7	1	1	8	LF-0.05	Circle(xy=(538, 82), radius=9)	625548	0.546875	Rectangle(xy=(518.5, 43.5), width=67, height=59, angle=0)	0.0	"[[ 84 109  91 ... 112 101  89]
 [144 115 409 ... 104 101 222]
 [ 78 143 306 ...  37 108 239]
 ...
 [ 93 262 168 ...  89 102  91]
 [346 158 119 ... 110 106  87]
 [168  87  66 ...  62  97 114]]"	94.91372385497789	122.14624505928853
9	8	1	1	9	LF-0.05	Circle(xy=(601, 81), radius=9)	631098	0.59375	Rectangle(xy=(585.5, 42.5), width=67, height=59, angle=0)	0.0	"[[127  84 157 ...  60  98  73]
 [119 134  72 ... 142 127 190]
 [ 73  73  92 ...  92 138  89]
 ...
 [ 68  64  80 ...  79  51 194]
 [ 66  72  43 ...  93  60  85]
 [232 105  97 ...  87  63 168]]"	60.00481397363828	115.13833992094861
10	9	1	1	10	LF-0.05	Circle(xy=(668, 81), radius=9)	446196	0.75	Rectangle(xy=(653.5, 42.5), width=67, height=59, angle=0)	0.0	"[[ 76 102  82 ...  46  50 114]
 [113 155 221 ...  68  65  88]
 [ 79 126  97 ...  82  87  62]
 ...
 [ 85  94  97 ...  81  61  67]
 [364  75 110 ...  64  63  51]
 [ 51  41  59 ...  64  56  56]]"	25.74846510865409	74.63241106719367
11	10	1	1	11		Circle(xy=(759.5, 76.5), radius=18)	307145	0.0	Rectangle(xy=(721.5, 42.5), width=67, height=59, angle=0)	0.004901960784313725	"[[ 58  44  72 ...  54  82  75]
 [ 55  87  66 ...  69  69  82]
 [ 29  51  78 ...  56  46  66]
 ...
 [ 78  69  52 ...  57  66  52]
 [ 62 115  79 ...  64  60  71]
 [ 85 186 123 ...  65  35  57]]"	101.99004453360978	78.07941176470588
