ID	Block	Row	Column	Name	spot_images	circles	squares	circle_qual	std_intensities2	intensities2	intensities
332	3	34	3	P001-0.5	"[[  71  165  155 ...  160   67  161]
 [ 171  211  281 ...  240   87  237]
 [ 113  187   97 ...  127  170  121]
 ...
 [ 134  186  214 ...  273  189  167]
 [ 222  148  100 ...  204  323  239]
 [ 238 1034  217 ...  350  297  217]]"	Circle(xy=(696, 6612), radius=44)	Rectangle(xy=(581, 6511), width=180, height=168, angle=0)	0.328125	221.69509177006685	464.96922823761724	9556117
333	3	34	4	P001-0.25	"[[293 242 233 ... 294 226 159]
 [220 193  99 ... 324  69 165]
 [120  66 216 ... 172 313 225]
 ...
 [123 264 202 ... 199 223 205]
 [222 101 380 ... 255 209 392]
 [314 290 224 ... 193 264 213]]"	Circle(xy=(865, 6591), radius=50)	Rectangle(xy=(761, 6512), width=180, height=168, angle=0)	0.33333333333333265	3064.332548056758	548.572466539197	12926511
334	3	34	5	P049-1	"[[189 378 183 ... 464 268 229]
 [203 355 250 ... 392 330 496]
 [166 140 222 ... 432 335 156]
 ...
 [219 255 170 ... 284 441 282]
 [194 232 134 ... 308 334 323]
 [346 368 172 ... 307 392 366]]"	Circle(xy=(1047, 6636), radius=26)	Rectangle(xy=(941, 6512), width=180, height=168, angle=0)	0.22368421052631562	2017.570981160509	3415.114097123998	39932286
335	3	34	6	P049-0.5	"[[408 393 492 ... 273 303 355]
 [428 228 286 ... 207  90 164]
 [246 262 241 ... 251 213 416]
 ...
 [197 232 406 ... 339 346 507]
 [198 418 345 ... 293 449 485]
 [313 274 315 ... 298 275 308]]"	Circle(xy=(1207, 6601), radius=42)	Rectangle(xy=(1121, 6513), width=180, height=168, angle=0)	0.32500000000000007	658.3688530767778	1769.7428054298643	30958529
336	3	34	7	P049-0.25	"[[444 347 447 ... 313 433 366]
 [328 325 403 ... 297 413 254]
 [288 473 314 ... 153 209 417]
 ...
 [428 431 537 ... 564 323 730]
 [404 532 516 ... 470 507 400]
 [404 503 405 ... 391 390 461]]"	Circle(xy=(1380, 6610), radius=46)	Rectangle(xy=(1301, 6513), width=180, height=168, angle=0)	0.3749999999999997	1590.6293029083197	1135.958641509434	22499080
337	3	34	8	P050-1	"[[ 501  260  383 ...  305  301  315]
 [ 416  286  491 ...  412  215  259]
 [ 286  469  282 ...  391  345  324]
 ...
 [ 493  556  394 ... 1175  960 1089]
 [ 524  516  235 ...  793  784  510]
 [ 540  571  516 ...  630  791  825]]"	Circle(xy=(1567, 6603), radius=50)	Rectangle(xy=(1481, 6514), width=180, height=168, angle=0)	0.3576388888888881	1869.142496930079	2789.6307202039516	42350707
338	3	34	9	P050-0.5	"[[ 304  239  352 ...  479  414  607]
 [ 294  332  285 ...  619  524  766]
 [ 460  338  338 ... 1127  500  368]
 ...
 [ 948 1011  762 ...  976  927  926]
 [ 716 1329  814 ...  909 1054  873]
 [ 791  840  719 ...  805 1102 1003]]"	Circle(xy=(1751, 6598), radius=20)	Rectangle(xy=(1661, 6514), width=180, height=168, angle=0)	0.0	1340.9303430574755	1796.631662688942	29494297
339	3	34	10	P050-0.25	"[[ 424  472  447 ... 9155 4762  665]
 [ 379  563  553 ...  342  277 1897]
 [ 353  565  517 ...  284  397  309]
 ...
 [ 822  730  735 ... 1453 1720 1951]
 [1032  476  947 ... 1661 1417 1833]
 [ 872  953  644 ... 1589 1796 1807]]"	Circle(xy=(1931, 6599), radius=20)	Rectangle(xy=(1841, 6515), width=180, height=168, angle=0)	0.0	700.4163053602704	1624.8066825775657	30884356
340	3	35	1	P052-1	"[[282 322 180 ... 204 276 199]
 [242 233 233 ... 274 181 242]
 [212 306 186 ... 498 187 205]
 ...
 [211 194 326 ... 295 231 258]
 [448 468 463 ...  85 251 265]
 [305 629 395 ... 242 204 271]]"	Circle(xy=(302, 6757), radius=42)	Rectangle(xy=(220, 6679), width=180, height=168, angle=0)	0.3375	739.4756139059941	804.7549321266969	12617142
341	3	35	2	P052-0.5	"[[250 190 297 ... 167 151  66]
 [189 341 323 ... 141 149 122]
 [152 189 231 ... 137 183 276]
 ...
 [223  99 220 ...  78  45  79]
 [135 249 201 ...  27  68  29]
 [196 162 227 ...  77  72 149]]"	Circle(xy=(489, 6785), radius=44)	Rectangle(xy=(400, 6679), width=180, height=168, angle=0)	0.3046875	1234.764873118994	578.3370083922988	9751221
