ID	Unnamed: 0	Block	Row	Column	Name	circles	intensities	circle_qual	squares	intensities2_b	spot_images	std_intensities2	intensities2
1	0	1	1	1	LF-0.05	Circle(xy=(80, 136), radius=9)	587765	0.34375	Rectangle(xy=(50.5, 111.5), width=67, height=59, angle=0)	0.5454545454545454	"[[ 205 8184  533 ...   63  105  171]
 [ 620  796  564 ...   47  111   68]
 [ 487 1759  461 ...   97   84  112]
 ...
 [  70  203   95 ...  108  134   79]
 [ 127  110  100 ...   83   73  114]
 [ 147  100  154 ...   47   32  341]]"	262.61598739855833	281.600790513834
2	1	1	1	2	LF-0.05	Circle(xy=(147, 137), radius=9)	549442	0.375	Rectangle(xy=(117.5, 110.5), width=67, height=59, angle=0)	0.8023715415019763	"[[ 40  79  95 ...  47  55  88]
 [ 61  80  99 ...  61  77  72]
 [ 74  90  87 ...  94 116 119]
 ...
 [ 67 112  57 ... 107  56 212]
 [ 71 135 101 ... 116  85  86]
 [ 67  90 100 ...  86 124 122]]"	210.62530596507392	358.7114624505929
3	2	1	1	3	LF-0.05	Circle(xy=(219, 136), radius=9)	518038	0.359375	Rectangle(xy=(184.5, 110.5), width=67, height=59, angle=0)	0.30039525691699603	"[[224 131 117 ...  94 919  83]
 [ 71 104  77 ... 117  83  94]
 [ 70 122  92 ...  88  72  97]
 ...
 [ 69  94  91 ...  65  91  70]
 [ 47  93  94 ... 117  85  61]
 [120  68  57 ...  53  70  59]]"	226.05680179787115	204.33596837944663
4	3	1	1	4	LF-0.05	Circle(xy=(288, 135), radius=9)	550061	0.40625	Rectangle(xy=(251.5, 110.5), width=67, height=59, angle=0)	0.039525691699604744	"[[115  83  72 ...  60  45  55]
 [ 70 133 802 ...  50  34  93]
 [223 161 161 ...  60  53  55]
 ...
 [ 94  98 133 ...  82  47 113]
 [ 99  50  34 ...  86  65  45]
 [ 94  96  79 ...  53  54  83]]"	1984.8603622172743	261.82608695652175
5	4	1	1	5	LF-0.05	Circle(xy=(347, 137), radius=9)	519124	0.4375	Rectangle(xy=(319.5, 109.5), width=67, height=59, angle=0)	1.3280632411067195	"[[ 59  53  62 ... 105  86  57]
 [ 56  58  50 ...  59  58  65]
 [ 65  78  67 ...  57  71  66]
 ...
 [ 85 111  69 ...  85  78 100]
 [ 51  95  82 ... 108  72 142]
 [ 69  83 106 ...  68  91  71]]"	206.44604509540517	471.8498023715415
6	5	1	1	6	LF-0.05	Circle(xy=(413, 133), radius=9)	404229	0.296875	Rectangle(xy=(386.5, 109.5), width=67, height=59, angle=0)	1.2213438735177866	"[[ 42 104  90 ...  63  42  45]
 [ 83 204  72 ...  50  77  51]
 [ 75 163  63 ...  77  73  34]
 ...
 [441 139 101 ...  87  83  56]
 [150  83  73 ...  63  67  62]
 [201  57  63 ...  44  42  56]]"	218.6578386124412	407.82608695652175
7	6	1	1	7	LF-0.05	Circle(xy=(483, 134), radius=9)	471853	0.4375	Rectangle(xy=(453.5, 109.5), width=67, height=59, angle=0)	0.8300395256916996	"[[ 63 100  55 ... 126  96  42]
 [ 36  49  65 ...  85 104 113]
 [ 42  63  76 ...  68  62  90]
 ...
 [ 69  56  54 ...  55  76  62]
 [ 51  70  52 ...  45  87  60]
 [ 52  47  57 ...  76 116  75]]"	344.0784584884319	414.1620553359684
8	7	1	1	8	LF-0.05	Circle(xy=(555, 134), radius=9)	500480	0.3125	Rectangle(xy=(521.5, 109.5), width=67, height=59, angle=0)	0.31225296442687744	"[[ 59  59  58 ...  75  76  64]
 [124  70  91 ...  67  58 121]
 [111  79  75 ... 122  60 118]
 ...
 [112  53  74 ...  91 135  85]
 [151  96  63 ...  51  60  69]
 [ 50  54  70 ...  62  71  59]]"	189.19314608279936	157.32806324110672
9	8	1	1	9	LF-0.05	Circle(xy=(618, 132), radius=9)	386318	0.296875	Rectangle(xy=(588.5, 108.5), width=67, height=59, angle=0)	0.6640316205533597	"[[263 382 793 ...  60  56  54]
 [325 567  80 ... 194  56 119]
 [175  88  58 ... 266 112  96]
 ...
 [ 67  45  31 ...  55  42  79]
 [ 34  52  35 ...  60  57  64]
 [ 42  68 130 ...  47  51  90]]"	246.94396714177105	255.8695652173913
10	9	1	1	10	LF-0.05	Circle(xy=(680, 135), radius=9)	348022	0.234375	Rectangle(xy=(655.5, 108.5), width=67, height=59, angle=0)	0.8972332015810277	"[[130 153  69 ...  50 118  54]
 [ 42  81  97 ...  57  86 109]
 [ 51  60  86 ...  38 100  37]
 ...
 [124  63  49 ...  94 104  40]
 [106 107  60 ...  64  94  49]
 [ 70  92  95 ...  72  43  44]]"	176.5420570518727	287.7628458498024
