ID	Unnamed: 0	Block	Row	Column	Name	circles	intensities	circle_qual	squares	intensities2_b	spot_images	std_intensities2	intensities2
1	0	1	1	1	LF-0.05	Circle(xy=(78, 94), radius=10.8)	5049792	0.3750000000000001	Rectangle(xy=(52.5, 61.5), width=67, height=59, angle=0)	0.8904109589041096	"[[ 284  356 1052 ...  418  329  309]
 [ 392 2507  488 ... 1081  551  639]
 [ 647 1575  685 ... 1219  359  278]
 ...
 [ 556 1091  334 ...  271  254  515]
 [4288  554 2029 ...  931  221  199]
 [ 631  530  573 ... 2312 4706 7575]]"	2704.3815360138296	1438.4164383561645
2	1	1	1	2	LF-0.05	Circle(xy=(146, 79), radius=9)	3185741	0.4375	Rectangle(xy=(119.5, 60.5), width=67, height=59, angle=0)	0.2924901185770751	"[[ 541  982  440 ...  217  209  232]
 [ 341 1490 1065 ...  479  323  373]
 [4235 1048  349 ... 1051  772  139]
 ...
 [ 507  487  675 ...  278  399 4249]
 [ 273  301 1602 ...  143  247  505]
 [ 283  416  191 ...  139  164  191]]"	2956.231347076468	1227.1699604743083
3	2	1	1	3	LF-0.05	Circle(xy=(214, 90), radius=9)	2011922	0.25	Rectangle(xy=(186.5, 60.5), width=67, height=59, angle=0)	1.1818181818181819	"[[ 331  208  745 ...  162  234  140]
 [ 933  349  330 ...  279  287  705]
 [ 221 1710  394 ...  112  675  257]
 ...
 [1126  299  341 ...  152  214  627]
 [ 279  247  203 ...  318 1881  329]
 [ 375  257  261 ...  263 1401  224]]"	719.2469131288207	964.8577075098814
4	3	1	1	4	LF-0.05	Circle(xy=(288, 95), radius=9)	1713283	0.21875	Rectangle(xy=(254.5, 60.5), width=67, height=59, angle=0)	0.8853754940711462	"[[ 577  231  163 ...  100  104  127]
 [ 507  173  206 ...  236  168  130]
 [ 311 1290  204 ... 1261  707  231]
 ...
 [ 179  334  237 ...  188  226  199]
 [1394  242  241 ...  173  323  447]
 [ 273  426  180 ...  463  252  162]]"	1004.358819660057	896.3794466403162
5	4	1	1	5	LF-0.05	Circle(xy=(356, 119), radius=9)	1350488	0.234375	Rectangle(xy=(321.5, 60.5), width=67, height=59, angle=0)	0.0	"[[ 136  174  153 ...  426  133  321]
 [ 325  146  140 ...  112  650  135]
 [ 170  128   84 ...  192  160 1092]
 ...
 [ 244  231  175 ...  169  107  111]
 [ 448  209  139 ...  355  236  283]
 [ 169  199  270 ...  253  129  649]]"	458.545443477945	337.87179487179486
6	5	1	1	6	LF-0.05	Circle(xy=(419, 87), radius=9)	1441319	0.21875	Rectangle(xy=(388.5, 60.5), width=67, height=59, angle=0)	0.691699604743083	"[[ 205  137  413 ... 1039  303  127]
 [ 113  151  280 ...  312  186  178]
 [ 115  111  122 ...  453  313  189]
 ...
 [ 144  201  114 ...  212  276  237]
 [ 189  502  307 ...  313  930  173]
 [ 126  180  203 ...  136  140  895]]"	725.7467634564198	677.6086956521739
7	6	1	1	7	LF-0.05	Circle(xy=(487, 91), radius=9)	1360253	0.28125	Rectangle(xy=(456.5, 60.5), width=67, height=59, angle=0)	0.7470355731225297	"[[ 205  371  329 ...   92  113  200]
 [ 216  168  552 ...  202  565  176]
 [ 138  147  239 ...  267  204  207]
 ...
 [  84  145  227 ...  103   95  159]
 [ 101  158  356 ...  179 1073  113]
 [ 176  208  136 ...  490  256  159]]"	950.9771391042357	803.0513833992095
8	7	1	1	8	LF-0.05	Circle(xy=(557, 89), radius=9)	1509038	0.234375	Rectangle(xy=(523.5, 60.5), width=67, height=59, angle=0)	0.2845849802371542	"[[ 444  255 1111 ...  144   84  135]
 [ 619   82  171 ...  141  178  182]
 [ 158  117  127 ...  158   87  763]
 ...
 [ 258  135  109 ...  618  146  138]
 [  97  101  149 ...  212  216  159]
 [ 190  473  166 ...  191  128  137]]"	462.33632708785944	474.39525691699606
9	8	1	1	9	LF-0.05	Circle(xy=(625, 85), radius=9)	1014965	0.234375	Rectangle(xy=(590.5, 60.5), width=67, height=59, angle=0)	0.13438735177865613	"[[118 173 154 ...  84 112 124]
 [129  76 560 ... 171 497 173]
 [164 191 184 ... 130 102 102]
 ...
 [112  60 348 ...  97 544 275]
 [124 106  99 ... 152 169 109]
 [236 174 120 ... 404 213 101]]"	324.7852148699058	337.2648221343874
10	9	1	1	10	LF-0.05	Circle(xy=(673, 88), radius=9)	1006992	0.203125	Rectangle(xy=(658.5, 60.5), width=67, height=59, angle=0)	0.18972332015810275	"[[123 189 143 ... 141 229 130]
 [376  92 126 ... 156 116 106]
 [ 88 251 196 ...  93 105  67]
 ...
 [ 98 189 115 ... 406  85 147]
 [299 110 128 ... 380 151 202]
 [123 185 252 ... 129 129 121]]"	256.99237489518816	157.95256916996047
